Name,Desc,Runs,Balls,Minutes,Fours,Sixes,Strike_Rate,Batting_Position,Match_Id
Upul Tharanga,b Ngidi,9,11,17,2,0,81.82,2,1144167
Kusal Perera,c †de Kock b Imran Tahir,33,36,66,4,0,91.67,3,1144167
Oshada Fernando,run out (Miller/†de Kock),49,49,68,5,2,100,4,1144167
Kusal Mendis,c van der Dussen b Imran Tahir,60,73,95,5,1,82.19,5,1144167
Dhananjaya de Silva,st †de Kock b Imran Tahir,39,52,73,3,0,75,6,1144167
Thisara Perera,c Miller b Rabada,7,9,17,0,0,77.78,7,1144167
Akila Dananjaya,run out (van der Dussen/Rabada),0,0,3,0,0,0,8,1144167
Lasith Malinga,c Imran Tahir b Ngidi,15,24,35,2,0,62.5,9,1144167
Lakshan Sandakan,c †de Kock b Nortje,3,10,15,0,0,30,10,1144167
Vishwa Fernando,not out,1,11,15,0,0,9.09,11,1144167
Niroshan Dickwella,c †de Kock b Rabada,6,10,10,0,0,60,1,1144168
Avishka Fernando,b Ngidi,10,9,23,1,1,111.11,2,1144168
Kusal Perera,c Miller b Nortje,8,23,35,0,0,34.78,3,1144168
Oshada Fernando,lbw b Nortje,31,45,69,3,0,68.89,4,1144168
Kusal Mendis,run out (Nortje),24,31,41,2,0,77.42,5,1144168
Dhananjaya de Silva,c du Plessis b Rabada,15,26,27,2,0,57.69,6,1144168
Thisara Perera,c Miller b Imran Tahir,23,23,37,2,1,100,7,1144168
Akila Dananjaya,c Mulder b Rabada,4,16,23,0,0,25,8,1144168
Kasun Rajitha,lbw b Imran Tahir,0,1,2,0,0,0,9,1144168
Lasith Malinga,c sub (DW Steyn) b Ngidi,1,4,13,0,0,25,10,1144168
Vishwa Fernando,not out,2,6,8,0,0,33.33,11,1144168
Avishka Fernando,c Shamsi b Ngidi,23,26,32,4,0,88.46,1,1144169
Niroshan Dickwella,c Imran Tahir b Rabada,2,7,10,0,0,28.57,2,1144169
Oshada Fernando,c †de Kock b Shamsi,25,44,59,3,0,56.82,3,1144169
Kusal Mendis,c & b Imran Tahir,41,31,49,4,2,132.26,4,1144169
Thisara Perera,c van der Dussen b Imran Tahir,12,14,23,0,0,85.71,5,1144169
Kamindu Mendis,not out,8,13,19,0,0,61.54,6,1144169
Isuru Udana,not out,0,9,8,0,0,0,7,1144169
Avishka Fernando,c Duminy b Nortje,29,27,50,5,0,107.41,1,1144170
Upul Tharanga,c Shamsi b Steyn,4,6,10,1,0,66.67,2,1144170
Oshada Fernando,c Hendricks b Ngidi,0,4,7,0,0,0,3,1144170
Kusal Mendis,c Nortje b Phehlukwayo,21,42,68,1,0,50,4,1144170
Priyamal Perera,c †de Kock b Nortje,0,1,2,0,0,0,5,1144170
Kamindu Mendis,c †de Kock b Nortje,9,25,29,1,0,36,6,1144170
Dhananjaya de Silva,c Nortje b Duminy,22,46,61,2,0,47.83,7,1144170
Thisara Perera,c & b Shamsi,12,17,29,0,0,70.59,8,1144170
Isuru Udana,c du Plessis b Phehlukwayo,78,57,67,7,4,136.84,9,1144170
Lasith Malinga,run out (Hendricks),0,2,8,0,0,0,10,1144170
Kasun Rajitha,not out,0,9,30,0,0,0,11,1144170
Avishka Fernando,c Markram b Ngidi,9,15,16,2,0,60,1,1144171
Upul Tharanga,c †de Kock b Rabada,2,8,21,0,0,25,2,1144171
Oshada Fernando,c du Plessis b Imran Tahir,22,47,70,4,0,46.81,3,1144171
Kusal Mendis,run out (Ngidi/Nortje),56,84,129,3,0,66.67,4,1144171
Angelo Perera,c du Plessis b Imran Tahir,31,37,40,3,0,83.78,5,1144171
Priyamal Perera,c & b Rabada,33,57,89,2,0,57.89,6,1144171
Thisara Perera,c Imran Tahir b Nortje,2,7,8,0,0,28.57,7,1144171
Dhananjaya de Silva,c Duminy b Phehlukwayo,12,12,14,2,0,100,8,1144171
Isuru Udana,c Imran Tahir b Rabada,32,29,40,3,1,110.34,9,1144171
Akila Dananjaya,c Duminy b Nortje,3,4,6,0,0,75,10,1144171
Lasith Malinga,not out,0,0,3,0,0,0,11,1144171
Avishka Fernando,c Munsey b Leask,74,78,-,5,3,94.87,1,1169332
Dimuth Karunaratne,c sub (GT Main) b Wheal,77,88,-,7,0,87.5,2,1169332
Kusal Mendis,b Sharif,66,56,-,4,3,117.86,3,1169332
Thisara Perera,c †Cross b Wheal,0,1,-,0,0,0,4,1169332
Angelo Mathews,c Leask b Sole,1,10,-,0,0,10,5,1169332
Lahiru Thirimanne,not out,44,40,-,3,1,110,6,1169332
Dhananjaya de Silva,c Sole b Watt,7,10,-,0,0,70,7,1169332
Jeevan Mendis,c Munsey b Sharif,13,8,-,1,1,162.5,8,1169332
Isuru Udana,c Sole b Wheal,15,7,-,0,2,214.29,9,1169332
Suranga Lakmal,not out,12,4,-,1,1,300,10,1169332
Lahiru Thirimanne,lbw b Henry,4,2,4,1,0,200,1,1144485
Dimuth Karunaratne,not out,52,84,146,4,0,61.9,2,1144485
Kusal Perera,c de Grandhomme b Henry,29,24,34,4,0,120.83,3,1144485
Kusal Mendis,c Guptill b Henry,0,1,3,0,0,0,4,1144485
Dhananjaya de Silva,lbw b Ferguson,4,13,15,1,0,30.77,5,1144485
Angelo Mathews,c †Latham b de Grandhomme,0,9,14,0,0,0,6,1144485
Jeevan Mendis,c Neesham b Ferguson,1,4,5,0,0,25,7,1144485
Thisara Perera,c Boult b Santner,27,23,35,0,2,117.39,8,1144485
Isuru Udana,c Henry b Neesham,0,3,5,0,0,0,9,1144485
Suranga Lakmal,c Santner b Boult,7,13,19,1,0,53.85,10,1144485
Lasith Malinga,b Ferguson,1,2,9,0,0,50,11,1144485
Dimuth Karunaratne,c Najibullah Zadran b Mohammad Nabi,30,45,57,3,0,66.67,1,1144489
Kusal Perera,c †Mohammad Shahzad b Rashid Khan,78,81,150,8,0,96.3,2,1144489
Lahiru Thirimanne,b Mohammad Nabi,25,34,39,1,0,73.53,3,1144489
Kusal Mendis,c Rahmat Shah b Mohammad Nabi,2,2,4,0,0,100,4,1144489
Angelo Mathews,c Rahmat Shah b Mohammad Nabi,0,2,5,0,0,0,5,1144489
Dhananjaya de Silva,c †Mohammad Shahzad b Hamid Hassan,0,4,7,0,0,0,6,1144489
Thisara Perera,run out (Hashmatullah Shahidi/†Mohammad Shahzad),2,4,12,0,0,50,7,1144489
Isuru Udana,b Dawlat Zadran,10,21,22,0,1,47.62,8,1144489
Suranga Lakmal,not out,15,13,26,2,0,115.38,9,1144489
Lasith Malinga,b Dawlat Zadran,4,14,15,1,0,28.57,10,1144489
Nuwan Pradeep,b Rashid Khan,0,4,6,0,0,0,11,1144489
Dimuth Karunaratne,c Maxwell b Richardson,97,108,132,9,0,89.81,1,1144502
Kusal Perera,b Starc,52,36,64,5,1,144.44,2,1144502
Lahiru Thirimanne,c †Carey b Behrendorff,16,26,34,1,0,61.54,3,1144502
Kusal Mendis,c †Carey b Starc,30,37,68,0,2,81.08,4,1144502
Angelo Mathews,c †Carey b Cummins,9,11,14,2,0,81.82,5,1144502
Milinda Siriwardana,b Starc,3,4,5,0,0,75,6,1144502
Thisara Perera,c Warner b Starc,7,3,4,0,1,233.33,7,1144502
Dhananjaya de Silva,not out,16,30,43,2,0,53.33,8,1144502
Isuru Udana,c Finch b Richardson,8,8,8,1,0,100,9,1144502
Lasith Malinga,c Khawaja b Richardson,1,5,9,0,0,20,10,1144502
Nuwan Pradeep,c †Carey b Cummins,0,7,21,0,0,0,11,1144502
Dimuth Karunaratne,c †Buttler b Archer,1,8,9,0,0,12.5,1,1144509
Kusal Perera,c Ali b Woakes,2,6,12,0,0,33.33,2,1144509
