,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,bowling_contribution,economy,fielding_consistency
33,60.1022,51.1083,30,5,0,35,0,1012,3,1,0,1,36.6574,37.9844,5,13,1,0,4,0.0234741784037558,38.46,213,10,277,213.0,10,0.0,0.0,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792208
34,33.3753,47.0303,30,5,0,35,0,1012,3,1,0,1,50.5071,29.6167,0,6,0,0,5,0.0,0.0,213,10,277,213.0,10,0.0,0.0,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857143
35,0.0,12.2085,30,5,0,35,0,1012,3,1,0,1,12.7989,16.3609,1,11,0,0,6,0.0046948356807511,9.09,213,10,277,213.0,10,0.0,0.0,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,55.6003,43.7288,30,5,0,35,0,1012,3,1,0,1,44.0018,27.4583,11,17,2,0,7,0.0516431924882629,64.71,213,10,277,213.0,10,441.988,19.0567,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,1.0,48.9939,85.9906,32.0,30.0,0.1502347417840375,6.4,0.892473
37,22.8244,20.5623,30,5,0,35,0,1012,3,1,0,1,22.3991,19.6594,56,76,5,0,8,0.2629107981220657,73.68,213,10,277,213.0,10,105.123,30.9399,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,1.0,30.2562,53.84,19.0,36.0,0.0892018779342723,3.17,0.777778
38,0.0,21.7998,30,5,0,35,0,1012,3,1,0,1,22.7182,21.7998,28,44,3,0,9,0.1314553990610328,63.64,213,10,277,213.0,10,0.0,25.6873,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,1.0,25.5441,21.458,33.0,36.0,0.1549295774647887,5.5,0.0
39,0.0,4.4578,30,5,0,35,0,1012,3,1,0,1,4.4906,4.4578,1,4,0,0,10,0.0046948356807511,25.0,213,10,277,213.0,10,0.0,20.1244,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,1.0,19.6409,20.5927,51.0,34.0,0.2394366197183098,9.0,0.0
40,23.6093,0.2238,30,5,0,35,0,1012,3,1,0,1,5.44928,7.6117,0,8,0,0,11,0.0,0.0,213,10,277,213.0,10,288.64,36.1368,24.0,3.0,0.0,57.0,0.0,1012.0,3.0,1.0,58.5641,45.2125,75.0,60.0,0.352112676056338,7.5,0.8
41,62.9666,26.0915,20,9,0,42,52,1015,3,2,1,1,34.4715,29.9183,0,3,0,0,1,0.0,0.0,249,6,291,246.0,6,0.0,0.0,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740741
42,74.1419,45.9018,20,9,0,42,52,1015,3,2,1,1,31.9185,38.0494,49,54,8,0,2,0.1967871485943775,90.74,249,6,291,246.0,6,264.519,9.7462,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,28.0079,51.7822,18.0,30.0,0.072289156626506,3.6,0.740741
