,runs_conceded,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season,result,weather
150,35,60,1,68.7865,26.2859,29,9,0,59,20,1008,3,2,0,0,22.6664,26.3519,3,0,0
151,46,60,2,235.698,12.9094,29,9,0,59,20,1008,3,2,0,0,38.5057,28.766,3,0,3
152,10,6,0,264.519,19.259,29,9,0,59,20,1008,3,2,0,0,46.1399,50.4942,3,0,3
153,38,46,6,594.115,29.2376,29,21,5,65,33,1008,2,2,0,0,60.7292,5.2575,3,1,2
154,18,54,1,413.386,47.8475,29,21,5,65,33,1008,2,2,0,0,33.4576,16.2522,3,1,1
155,20,42,1,354.802,30.6851,29,21,5,65,33,1008,2,2,0,0,61.955,13.5902,3,1,1
156,23,54,0,183.552,29.6321,29,21,5,65,33,1008,2,2,0,0,41.3512,16.9847,3,1,3
157,24,48,1,68.7865,26.2859,29,21,5,65,33,1008,2,2,0,0,22.6664,15.6537,3,1,0
158,12,18,0,0.0,0.0,29,21,5,65,33,1008,2,2,0,0,6.1577,6.5082,3,1,0
159,51,48,0,594.115,29.2376,19,1,0,92,0,1011,3,1,1,0,49.9731,37.2646,3,1,2
160,33,48,0,413.386,47.8475,19,1,0,92,0,1011,3,1,1,0,39.4009,29.9097,3,1,1
161,33,36,1,441.988,17.9622,19,1,0,92,0,1011,3,1,1,0,39.2752,17.7583,3,1,1
162,34,54,3,68.7865,26.2859,19,1,0,92,0,1011,3,1,1,0,7.87577,8.31673,3,1,0
163,29,30,2,354.802,30.6851,19,1,0,92,0,1011,3,1,1,0,45.6636,11.8636,3,1,1
164,4,18,4,264.519,19.259,19,1,0,92,0,1011,3,1,1,0,30.7008,9.65158,3,1,3
165,38,30,1,594.115,29.2376,31,6,0,68,0,1007,3,1,1,1,13.6319,51.0771,3,1,2
166,19,42,1,413.386,47.8475,31,6,0,68,0,1007,3,1,1,1,33.6207,58.0883,3,1,1
167,19,18,1,354.802,30.6851,31,6,0,68,0,1007,3,1,1,1,7.1314,37.8722,3,1,1
168,24,36,2,183.552,29.6321,31,6,0,68,0,1007,3,1,1,1,7.0631,20.6891,3,1,3
169,24,36,1,264.519,19.259,31,6,0,68,0,1007,3,1,1,1,13.4823,48.7779,3,1,3
