,balls,maidens,runs,wickets,dots,fours,sixes,econ,wides,no_balls,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,result,inning,bowling_session,toss,venue,opposition,season,bowling_performance
149,60,0,56,1,25,5,0,5.6,0,0,0.329861063,0.02852808,0.026961434,0.008367342,0.0,0.054852573,0.018594093,0.93714227,0.002789114,-1,2,0,0,0.057599851,0.068302238,3,2
150,60,0,35,1,28,0,0,3.5,2,0,0.067859535,0.025931672,0.028609197,0.008878716,0.0,0.058204917,0.01973048,0.994416214,0.002959572,-1,2,0,0,0.022360948,0.025996782,3,0
151,60,0,46,2,26,1,0,4.6,0,0,0.226915425,0.01242837,0.027919402,0.008664642,0.0,0.056801543,0.01925476,0.97043992,0.002888214,-1,2,0,0,0.037070901,0.027694122,3,0
152,6,0,10,0,0,1,0,10.0,0,0,0.252680803,0.018397089,0.027702143,0.008597217,0.0,0.056359533,0.019104927,0.962888296,0.002865739,-1,2,0,0,0.04407497,0.048234399,3,4
153,46,0,38,6,35,5,0,4.96,3,2,0.50570174,0.024886605,0.024684363,0.017874884,0.004255925,0.055327021,0.028089103,0.857994419,0.00170237,1,2,0,0,0.05169178,0.004475105,3,0
154,54,1,18,1,41,1,0,2.0,0,0,0.377801221,0.043728728,0.026503644,0.019192294,0.004569594,0.059404719,0.030159319,0.921230112,0.001827838,1,2,0,0,0.030577528,0.01485319,3,0
155,42,0,20,1,29,2,0,2.86,1,0,0.33034678,0.028570087,0.027001135,0.019552546,0.004655368,0.060519785,0.030725429,0.938522202,0.001862147,1,2,0,0,0.057684666,0.012653477,3,1
156,54,2,23,0,41,2,0,2.56,0,0,0.178343995,0.028791335,0.02817717,0.020404157,0.004858133,0.063155725,0.032063676,0.979399554,0.001943253,1,2,0,0,0.040177923,0.016502785,3,0
157,48,0,24,1,28,0,0,3.0,0,0,0.067814551,0.025914482,0.028590232,0.020703271,0.00492935,0.064081554,0.032533712,0.993757019,0.00197174,1,2,0,0,0.022346125,0.015432514,3,0
158,18,0,12,0,8,0,0,4.0,1,0,0.0,0.006027554,0.028674858,0.020764552,0.004943941,0.064271233,0.032630011,0.996698504,0.001977576,1,2,0,0,0.006088661,0.006435231,3,4
