batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity
27,2,7,91,56,1009,2
27,2,7,91,56,1009,2
27,2,7,91,56,1009,2
27,2,7,91,56,1009,2
27,2,7,91,56,1009,2
27,2,7,91,56,1009,2
25,4,6,99,54,1010,2
25,4,6,99,54,1010,2
25,4,6,99,54,1010,2
25,4,6,99,54,1010,2
25,4,6,99,54,1010,2
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
25,4,11,100,57,1008,1
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
23,5,1,92,21,1010,3
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
27,2,3,82,37,1010,2
26,4,4,91,37,1010,2
26,4,4,91,37,1010,2
26,4,4,91,37,1010,2
26,4,4,91,37,1010,2
26,4,4,91,37,1010,2
24,2,14,98,41,1010,1
24,2,14,98,41,1010,1
24,2,14,98,41,1010,1
24,2,14,98,41,1010,1
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
27,9,2,77,55,1008,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
9,7,0,80,23,1023,3
17,21,0,66,31,1022,3
17,21,0,66,31,1022,3
17,21,0,66,31,1022,3
17,21,0,66,31,1022,3
17,21,0,66,31,1022,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
23,17,0,74,27,1018,3
26,24,1,83,68,1009,2
26,24,1,83,68,1009,2
26,24,1,83,68,1009,2
26,24,1,83,68,1009,2
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
30,16,0,63,25,1009,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,9,1,88,26,1012,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,3,0,82,12,1011,3
26,18,1,75,22,1010,3
26,18,1,75,22,1010,3
26,18,1,75,22,1010,3
28,12,0,72,20,1009,3
28,12,0,72,20,1009,3
28,12,0,72,20,1009,3
28,12,0,72,20,1009,3
28,12,0,72,20,1009,3
30,5,0,45,0,1008,3
