wickets,econ,performance
2,5.11,0.587084149
0,4.36,0.229357798
3,5.75,0.695652174
0,3.84,0.260416667
4,3.63,1.377410468
0,4.56,0.219298246
2,5.25,0.571428571
0,4,0.25
0,4.5,0.222222222
0,5,0.2
1,1,2
0,2.33,0.429184549
2,5.33,0.562851782
0,4,0.25
2,5.17,0.580270793
1,3.3,0.606060606
1,3.8,0.526315789
1,5.8,0.344827586
4,2,2.5
1,5.25,0.380952381
1,5.4,0.37037037
3,4.43,0.902934537
3,2.83,1.413427562
2,2.2,1.363636364
0,7,0.142857143
1,5.67,0.352733686
0,5.25,0.19047619
1,5.75,0.347826087
2,4,0.75
1,4,0.5
0,5,0.2
1,5.7,0.350877193
0,3.4,0.294117647
0,3.9,0.256410256
2,6.38,0.470219436
3,3.5,1.142857143
0,3,0.333333333
3,5.78,0.692041522
0,4.43,0.225733634
4,5.28,0.946969697
0,7.33,0.136425648
1,3.8,0.526315789
2,4,0.75
3,3.77,1.061007958
0,8,0.125
2,2.9,1.034482759
1,4.1,0.487804878
1,3.4,0.588235294
3,4,1
1,3.43,0.583090379
0,1.5,0.666666667
0,8.4,0.119047619
4,6.8,0.735294118
0,7,0.142857143
2,7.75,0.387096774
0,13,0.076923077
0,14.33,0.069783671
2,2.8,1.071428571
1,5,0.4
0,4,0.25
3,4.17,0.959232614
0,5.17,0.193423598
0,10.33,0.096805421
2,7.3,0.410958904
0,5.9,0.169491525
0,5.11,0.195694716
1,8.83,0.226500566
0,5.8,0.172413793
1,4.88,0.409836066
0,9.5,0.105263158
1,5.6,0.357142857
1,7.8,0.256410256
0,7.13,0.140252454
0,4.64,0.215517241
1,4.5,0.444444444
0,4.2,0.238095238
0,6.6,0.151515152
0,6.5,0.153846154
1,6.7,0.298507463
1,5.8,0.344827586
0,5.8,0.172413793
2,7.25,0.413793103
0,5.75,0.173913043
0,7.25,0.137931034
0,7,0.142857143
0,5.71,0.175131349
1,5.44,0.367647059
1,2.5,0.8
0,4.9,0.204081633
0,10,0.1
0,7.89,0.126742712
0,5,0.2
1,2.6,0.769230769
3,5.6,0.714285714
0,4.4,0.227272727
4,5.7,0.877192982
1,4.2,0.476190476
0,5.5,0.181818182
1,4.63,0.431965443
0,6.33,0.157977883
3,2.86,1.398601399
2,3.67,0.817438692
1,3.89,0.514138817
2,5.63,0.53285968
0,5.5,0.181818182
2,4.13,0.726392252
2,6.67,0.449775112
2,5.38,0.557620818
1,3.4,0.588235294
2,2.4,1.25
1,4.33,0.461893764
3,4.9,0.816326531
1,5.11,0.391389432
0,7,0.142857143
0,5.67,0.176366843
0,7,0.142857143
