Score;Wickets;Overs;RPO;Target;Inning;Result;Opposition;Ground;Date;Match_Id;URL_Text;Batting_Session;Bowling_Session;Venue;Toss_Won;Toss;Series;Season;Player Of The Match;Match number;Hours of play (local time);Match days;ODI debut;Umpires;TV Umpire;Reserve Umpire;Match Referee;Points;Player Of The Series;Series result;LIST-A debut
243;8;50.0;4.86;;1;won;Pakistan;Colombo (RPS);16 Jun 2012;562442;ODI # 3275;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;Pakistan tour of Sri Lanka;2012;Thisara Perera;ODI No. 3275;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;16 June 2012 - daynight match (50-over match);;Paul ReiffelRanmore Martinesz;Ruchira Palliyaguruge;Nilan De Silva;Chris Broad;;;Sri Lanka led the 5-match series 2-1 ;
248;8;49.4;4.99;248;2;won;Pakistan;Colombo (RPS);18 Jun 2012;562443;ODI # 3277;18.45-22.15;14.30-18.00;R.Premadasa Stadium, Khettarama, Colombo;False;Pakistan, elected to bat first;Pakistan tour of Sri Lanka;2012;Angelo Mathews;ODI No. 3277;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;18 June 2012 - daynight match (50-over match);;Paul ReiffelRanmore Martinesz;Ruchira Palliyaguruge;Nilan De Silva;Chris Broad;;Thisara Perera;Sri Lanka won the 5-match series 3-1 ;
293;9;50.0;5.86;315;2;lost;India;Hambantota;21 Jul 2012;564781;ODI # 3291;18.45-22.15;14.30-18.00;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;False;India, elected to bat first;India tour of Sri Lanka;2012;Virat Kohli;ODI No. 3291;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;21 July 2012 - daynight match (50-over match);;Bruce OxenfordRanmore Martinesz;Ruchira Palliyaguruge;Sagara Gallage;Chris Broad;;;India led the 5-match series 1-0 ;
139;1;19.5;7.00;139;2;won;India;Hambantota;24 Jul 2012;564782;ODI # 3292;18.45-22.15;14.30-18.00;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;False;India, elected to bat first;India tour of Sri Lanka;2012;Thisara Perera;ODI No. 3292;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;24 July 2012 - daynight match (50-over match);Isuru Udana;Bruce OxenfordRuchira Palliyaguruge;Ranmore Martinesz;Sena Nandiweera;Chris Broad;;;5-match series level 1-1 ;
286;5;50.0;5.72;;1;lost;India;Colombo (RPS);28 Jul 2012;564783;ODI # 3293;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;India tour of Sri Lanka;2012;Suresh Raina;ODI No. 3293;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;28 July 2012 - daynight match (50-over match);;Bruce OxenfordKumar Dharmasena;Ranmore Martinesz;Maurice Dela Zilva;Chris Broad;;;India led the 5-match series 2-1 ;
251;8;50.0;5.02;;1;lost;India;Colombo (RPS);31 Jul 2012;564784;ODI # 3294;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;India tour of Sri Lanka;2012;Virat Kohli;ODI No. 3294;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;31 July 2012 - daynight match (50-over match);Nuwan Pradeep;Bruce OxenfordKumar Dharmasena;Tyron Wijewardene;Raveendra Wimalasiri;Chris Broad;;;India led the 5-match series 3-1 ;
274;10;45.4;6.00;295;2;lost;India;Pallekele;4 Aug 2012;564785;ODI # 3295;18.45-22.15;14.30-18.00;Pallekele International Cricket Stadium;False;India, elected to bat first;India tour of Sri Lanka;2012;Irfan Pathan;ODI No. 3295;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;4 August 2012 - daynight match (50-over match);;Bruce OxenfordTyron Wijewardene;Ruchira Palliyaguruge;Nishan Dhanasinghe;Chris Broad;;Virat Kohli;India won the 5-match series 4-1 ;
118;3;22.5;5.16;105;2;won;New Zealand;Pallekele;4 Nov 2012;582188;ODI # 3305;18.45-22.15;14.30-18.00;Pallekele International Cricket Stadium;False;New Zealand, elected to bat first;New Zealand tour of Sri Lanka;2012/13;Lasith Malinga;ODI No. 3305;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;4 November 2012 - daynight match (50-over match);;Ian GouldKumar Dharmasena;Ranmore Martinesz;Nishan Dhanasinghe;Andy Pycroft;;;Sri Lanka led the 5-match series 1-0 ;
200;3;31.1;6.41;197;2;won;New Zealand;Pallekele;6 Nov 2012;582189;ODI # 3306;18.45-22.15;14.30-18.00;Pallekele International Cricket Stadium;True;Sri Lanka, elected to field first;New Zealand tour of Sri Lanka;2012/13;Tillakaratne Dilshan;ODI No. 3306;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;6 November 2012 - daynight match (50-over match);;Ian GouldKumar Dharmasena;Ranmore Martinesz;Nishan Dhanasinghe;Andy Pycroft;;;Sri Lanka led the 5-match series 2-0 ;
131;3;26.2;4.97;131;2;won;New Zealand;Hambantota;10 Nov 2012;582190;ODI # 3307;18.45-22.15;14.30-18.00;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;True;Sri Lanka, elected to field first;New Zealand tour of Sri Lanka;2012/13;Jeevan Mendis;ODI No. 3307;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;10 November 2012 - daynight match (50-over match);Adam Milne;Ian GouldRuchira Palliyaguruge;Tyron Wijewardene;Raveendra Wimalasiri;Andy Pycroft;;;Sri Lanka led the 5-match series 3-0 ;
123;8;28.3;4.31;;1;n/r;New Zealand;Hambantota;12 Nov 2012;582191;ODI # 3308;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;False;New Zealand, elected to field first;New Zealand tour of Sri Lanka;2012/13;;ODI No. 3308;14.30 start, First Session 14.30-18.00 Interval 18.00-18.45, Second Session 18.45-22.15;12 November 2012 - daynight match (50-over match);Akila Dananjaya;Ian GouldTyron Wijewardene;Ruchira Palliyaguruge;Raveendra Wimalasiri;Andy Pycroft;;BJ Watling;Sri Lanka won the 5-match series 3-0 ;Akila Dananjaya
198;10;40.0;4.95;306;2;lost;Australia;Melbourne;11 Jan 2013;573014;ODI # 3317;18.35-22.05;14.20-17.50;Melbourne Cricket Ground;False;Australia, elected to bat first;Sri Lanka tour of Australia;2012/13;Phillip Hughes;ODI No. 3317;14.20 start, First Session 14.20-17.50, Interval 17.50-18.35, Second Session 18.35-22.05;11 January 2013 - daynight match (50-over match);Aaron FinchPhillip HughesUsman Khawaja;Paul ReiffelRichard Kettleborough;Marais Erasmus;Simon Fry;Javagal Srinath;;;Australia led the 5-match series 1-0 ;
172;2;40.1;4.28;171;2;won;Australia;Adelaide;13 Jan 2013;573015;ODI # 3319;18.05-21.35;13.50-17.20;Adelaide Oval;True;Sri Lanka, elected to field first;Sri Lanka tour of Australia;2012/13;Lahiru Thirimanne;ODI No. 3319;13.50 start, First Session 13.50-17.20, Interval 17.20-18.05, Second Session 18.05-21.35;13 January 2013 - daynight match (50-over match);Ben CuttingKane RichardsonKusal Perera;Marais ErasmusSimon Fry;Richard Kettleborough;Paul Reiffel;Javagal Srinath;;;5-match series level 1-1 ;
75;6;20.0;3.75;75;2;won;Australia;Brisbane;18 Jan 2013;573016;ODI # 3321;17.35-21.05;13.20-16.50;Brisbane Cricket Ground, Woolloongabba, Brisbane;False;Australia, elected to bat first;Sri Lanka tour of Australia;2012/13;Nuwan Kulasekara;ODI No. 3321;13.20 start, First Session 13.20-16.50, Interval 16.50-17.35, Second Session 17.35-21.05;18 January 2013 - daynight match (50-over match);;Paul ReiffelRichard Kettleborough;Marais Erasmus;John Ward;Javagal Srinath;;;Sri Lanka led the 5-match series 2-1 ;
14;0;3.2;4.20;223;2;n/r;Australia;Sydney;20 Jan 2013;573017;ODI # 3324;18.35-22.05;14.20-17.50;Sydney Cricket Ground;False;Australia, elected to bat first;Sri Lanka tour of Australia;2012/13;;ODI No. 3324;14.20 start, First Session 14.20-17.50, Interval 17.50-18.35, Second Session 18.35-22.05;20 January 2013 - daynight match (50-over match);;Marais ErasmusPaul Reiffel;Richard Kettleborough;John Ward;Javagal Srinath;;;Sri Lanka led the 5-match series 2-1 ;
215;10;48.3;4.43;248;2;lost;Australia;Hobart;23 Jan 2013;573018;ODI # 3326;18.35-22.05;14.20-17.50;Bellerive Oval, Hobart;True;Sri Lanka, elected to field first;Sri Lanka tour of Australia;2012/13;Phillip Hughes;ODI No. 3326;14.20 start, First Session 14.20-17.50, Interval 17.50-18.35, Second Session 18.35-22.05;23 January 2013 - daynight match (50-over match);;Richard KettleboroughSimon Fry;Marais Erasmus;John Ward;Javagal Srinath;;Nuwan Kulasekara;5-match series drawn 2-2 ;
238;2;35.4;6.67;238;2;won;Bangladesh;Hambantota;23 Mar 2013;602474;ODI # 3349;18.45-22.15;14.30-18.00;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;True;Sri Lanka, elected to field first;Bangladesh tour of Sri Lanka;2012/13;Tillakaratne Dilshan;ODI No. 3349;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;23 March 2013 - daynight match (50-over match);Ziaur Rahman;Nigel LlongRuchira Palliyaguruge;Tyron Wijewardene;Nishan Dhanasinghe;David Boon;;;Sri Lanka led the 3-match series 1-0 ;
33;0;5.0;6.60;;1;n/r;Bangladesh;Hambantota;25 Mar 2013;602475;ODI # 3351;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;False;Bangladesh, elected to field first;Bangladesh tour of Sri Lanka;2012/13;;ODI No. 3351;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;25 March 2013 - daynight match (50-over match);;Nigel LlongTyron Wijewardene;Ruchira Palliyaguruge;Nishan Dhanasinghe;David Boon;;;Sri Lanka led the 3-match series 1-0 ;
302;9;50.0;6.04;;1;lost;Bangladesh;Pallekele;28 Mar 2013;602476;ODI # 3352;14.30-18.00;18.45-22.15;Pallekele International Cricket Stadium;True;Sri Lanka, elected to bat first;Bangladesh tour of Sri Lanka;2012/13;Tillakaratne Dilshan;ODI No. 3352;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;28 March 2013 - daynight match (50-over match);;Nigel LlongRuchira Palliyaguruge;Tyron Wijewardene;Sena Nandiweera;David Boon;;Tillakaratne Dilshan;3-match series drawn 1-1 ;
138;10;37.5;3.64;;1;lost;New Zealand;Cardiff;9 Jun 2013;578617;ODI # 3366;10.30-14.00;14.45-18.15;Sophia Gardens, Cardiff;True;Sri Lanka, elected to bat first;ICC Champions TrophyNew Zealand tour of England;2013;Nathan McCullum;ODI No. 3366;10.30 start, First Session 10.30-14.00, Interval 14.00-14.45, Second Session 14.45-18.15;9 June 2013 - day match (50-over match);;Bruce OxenfordRod Tucker;Ian Gould;Steve Davis;Andy Pycroft;New Zealand 2, Sri Lanka 0;;;
297;3;47.1;6.29;294;2;won;England;The Oval;13 Jun 2013;578621;ODI # 3370;17.15-20.45;13.00-16.30;Kennington Oval, London;True;Sri Lanka, elected to field first;ICC Champions Trophy;2013;Kumar Sangakkara;ODI No. 3370;13.00 start, First Session 13.00-16.30, Interval 16.30-17.15, Second Session 17.15-20.45;13 June 2013 - daynight match (50-over match);;Aleem DarBilly Bowden;Marais Erasmus;Tony Hill;Javagal Srinath;Sri Lanka 2, England 0;;;
253;8;50.0;5.06;;1;won;Australia;The Oval;17 Jun 2013;578625;ODI # 3374;13.00-16.30;17.15-20.45;Kennington Oval, London;False;Australia, elected to field first;ICC Champions TrophyAustralia tour of England and Scotland;2013;Mahela Jayawardene;ODI No. 3374;13.00 start, First Session 13.00-16.30, Interval 16.30-17.15, Second Session 17.15-20.45;17 June 2013 - daynight match (50-over match);;Marais ErasmusTony Hill;Aleem Dar;Billy Bowden;Javagal Srinath;Sri Lanka 2, Australia 0;;;
181;8;50.0;3.62;;1;lost;India;Cardiff;20 Jun 2013;566947;ODI # 3376;10.30-14.00;14.45-18.15;Sophia Gardens, Cardiff;False;India, elected to field first;ICC Champions Trophy;2013;Ishant Sharma;ODI No. 3376;10.30 start, First Session 10.30-14.00, Interval 14.00-14.45, Second Session 14.45-18.15;20 June 2013 - day match (50-over match);;Aleem DarRichard Kettleborough;Nigel Llong;Ian Gould;Chris Broad;;;India advanced ;
208;10;48.3;4.28;;1;lost;West Indies;Kingston;28 Jun 2013;597923;ODI # 3378;09.30-13.00;13.45-17.15;Sabina Park, Kingston, Jamaica;False;West Indies, elected to field first;West Indies Tri-Nation Series;2013;Chris Gayle;ODI No. 3378;09.30 start, First Session 09.30-13.00 Interval 13.00-13.45, Second Session 13.45-17.15;28 June 2013 - day match (50-over match);;Ian GouldJoel Wilson;Nigel Duguid;Peter Nero;Jeff Crowe;West Indies 5, Sri Lanka 0;;;
348;1;50.0;6.96;;1;won;India;Kingston;2 Jul 2013;597925;ODI # 3382;09.30-13.00;13.45-17.15;Sabina Park, Kingston, Jamaica;False;India, elected to field first;West Indies Tri-Nation Series;2013;Upul Tharanga;ODI No. 3382;09.30 start, First Session 09.30-13.00 Interval 13.00-13.45, Second Session 13.45-17.15;2 July 2013 - day match (50-over match);;Ian GouldJoel Wilson;Peter Nero;Nigel Duguid;Jeff Crowe;Sri Lanka 5, India 0;;;
219;8;41.0;5.34;;1;won;West Indies;Port of Spain;7 Jul 2013;597927;ODI # 3385;09.30-13.00;13.45-17.15;Queen's Park Oval, Port of Spain, Trinidad;False;West Indies, elected to field first;West Indies Tri-Nation Series;2013;Kumar Sangakkara;ODI No. 3385;09.30 start, First Session 09.30-13.00 Interval 13.00-13.45, Second Session 13.45-17.15;7,8 July 2013 - day match (50-over match);;Joel WilsonNigel Llong;Peter Nero;Nigel Duguid;Jeff Crowe;Sri Lanka 4, West Indies 0;;;
96;10;24.4;3.89;178;2;lost;India;Port of Spain;9 Jul 2013;597928;ODI # 3387;13.45-17.15;09.30-13.00;Queen's Park Oval, Port of Spain, Trinidad;True;Sri Lanka, elected to field first;West Indies Tri-Nation Series;2013;Bhuvneshwar Kumar;ODI No. 3387;09.30 start, First Session 09.30-13.00 Interval 13.00-13.45, Second Session 13.45-17.15;9 July 2013 - day match (50-over match);;Nigel LlongPeter Nero;Joel Wilson;Nigel Duguid;Jeff Crowe;India 5, Sri Lanka 0;;;
201;10;48.5;4.11;;1;lost;India;Port of Spain;11 Jul 2013;597929;ODI # 3388;09.30-13.00;13.45-17.15;Queen's Park Oval, Port of Spain, Trinidad;False;India, elected to field first;West Indies Tri-Nation Series;2013;MS Dhoni;ODI No. 3388;09.30 start, First Session 09.30-13.00 Interval 13.00-13.45, Second Session 13.45-17.15;11 July 2013 - day match (50-over match);;Nigel LlongPeter Nero;Joel Wilson;Nigel Duguid;David Boon;;Bhuvneshwar Kumar;India won the 2013 West Indies Tri-Nation Series ;
320;5;50.0;6.40;;1;won;South Africa;Colombo (RPS);20 Jul 2013;635653;ODI # 3392;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;False;South Africa, elected to field first;South Africa tour of Sri Lanka;2013;Kumar Sangakkara;ODI No. 3392;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;20 July 2013 - daynight match (50-over match);;Ranmore MartineszRichard Kettleborough;Rod Tucker;Raveendra Wimalasiri;Andy Pycroft;;;Sri Lanka led the 5-match series 1-0 ;
223;9;49.2;4.52;;1;won;South Africa;Colombo (RPS);23 Jul 2013;635654;ODI # 3394;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;South Africa tour of Sri Lanka;2013;Dinesh Chandimal;ODI No. 3394;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;23 July 2013 - daynight match (50-over match);;Raveendra WimalasiriRuchira Palliyaguruge;Richard Kettleborough;Lyndon Hannibal;Andy Pycroft;;;Sri Lanka led the 5-match series 2-0 ;
167;10;43.2;3.85;224;2;lost;South Africa;Pallekele;26 Jul 2013;635655;ODI # 3398;18.45-22.15;14.30-18.00;Pallekele International Cricket Stadium;False;South Africa, elected to bat first;South Africa tour of Sri Lanka;2013;David Miller;ODI No. 3398;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;26 July 2013 - daynight match (50-over match);Angelo Perera;Ranmore MartineszRichard Kettleborough;Rod Tucker;Ruchira Palliyaguruge;Andy Pycroft;;;Sri Lanka led the 5-match series 2-1 ;
239;2;44.0;5.43;239;2;won;South Africa;Pallekele;28 Jul 2013;635656;ODI # 3400;18.45-22.15;14.30-18.00;Pallekele International Cricket Stadium;False;South Africa, elected to bat first;South Africa tour of Sri Lanka;2013;Tillakaratne Dilshan;ODI No. 3400;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;28 July 2013 - daynight match (50-over match);;Rod TuckerRuchira Palliyaguruge;Richard Kettleborough;Ranmore Martinesz;Andy Pycroft;;;Sri Lanka led the 5-match series 3-1 ;
307;4;50.0;6.14;;1;won;South Africa;Colombo (RPS);31 Jul 2013;635657;ODI # 3401;14.30-18.00;18.45-22.15;R.Premadasa Stadium, Khettarama, Colombo;True;Sri Lanka, elected to bat first;South Africa tour of Sri Lanka;2013;Tillakaratne Dilshan;ODI No. 3401;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;31 July 2013 - daynight match (50-over match);;Raveendra WimalasiriRichard Kettleborough;Ranmore Martinesz;Ruchira Palliyaguruge;Andy Pycroft;;Kumar Sangakkara;Sri Lanka won the 5-match series 4-1 ;
288;9;50.0;5.76;;1;n/r;New Zealand;Hambantota;10 Nov 2013;668961;ODI # 3432;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;False;New Zealand, elected to field first;New Zealand tour of Sri Lanka;2013/14;;ODI No. 3432;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;10 November 2013 - daynight match (50-over match);;Bruce OxenfordRuchira Palliyaguruge;Raveendra Wimalasiri;Deepal Gunawardene;Chris Broad;;;3-match series level 0-0 ;
138;1;23.0;6.00;;1;lost;New Zealand;Hambantota;12 Nov 2013;668963;ODI # 3434;14.30-18.00;18.45-22.15;Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota;True;Sri Lanka, elected to bat first;New Zealand tour of Sri Lanka;2013/14;Tom Latham;ODI No. 3434;14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15;12 November 2013 - daynight match (50-over match);;Bruce OxenfordRuchira Palliyaguruge;Raveendra Wimalasiri;Deepal Gunawardene;Chris Broad;;;New Zealand led the 3-match series 1-0 ;
211;8;33.0;6.39;;1;won;New Zealand;Dambulla;16 Nov 2013;668965;ODI # 3435;10.00-13.30;14.15-17.45;Rangiri Dambulla International Stadium;False;New Zealand, elected to field first;New Zealand tour of Sri Lanka;2013/14;Sachithra Senanayake;ODI No. 3435;10.00 start, First Session 10.00-13.30, Interval 13.30-14.15, Second Session 14.15-17.45;16 November 2013 - day match (50-over match);;Bruce OxenfordRuchira Palliyaguruge;Raveendra Wimalasiri;Deepal Gunawardene;Chris Broad;;Tillakaratne Dilshan;3-match series drawn 1-1 ;
311;10;49.4;6.26;323;2;lost;Pakistan;Sharjah;18 Dec 2013;657637;ODI # 3445;19.15-22.45;15.00-18.30;Sharjah Cricket Stadium;False;Pakistan, elected to bat first;Sri Lanka tour of United Arab Emirates;2013/14;Mohammad Hafeez;ODI No. 3445;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;18 December 2013 - daynight match (50-over match);Sharjeel Khan;Johan CloeteShozab Raza;Richard Illingworth;Ahsan Raza;David Boon;;;Pakistan led the 5-match series 1-0 ;
287;8;49.4;5.77;285;2;won;Pakistan;Dubai (DSC);20 Dec 2013;657639;ODI # 3446;19.15-22.45;15.00-18.30;Dubai International Cricket Stadium;True;Sri Lanka, elected to field first;Sri Lanka tour of United Arab Emirates;2013/14;Angelo Mathews;ODI No. 3446;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;20 December 2013 - daynight match (50-over match);;Ahsan RazaRichard Illingworth;Johan Cloete;Shozab Raza;David Boon;;;5-match series level 1-1 ;
213;10;44.4;4.76;327;2;lost;Pakistan;Sharjah;22 Dec 2013;657641;ODI # 3447;19.15-22.45;15.00-18.30;Sharjah Cricket Stadium;True;Sri Lanka, elected to field first;Sri Lanka tour of United Arab Emirates;2013/14;Mohammad Hafeez;ODI No. 3447;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;22 December 2013 - daynight match (50-over match);;Johan CloeteShozab Raza;Richard Illingworth;;David Boon;;;Pakistan led the 5-match series 2-1 ;
225;10;48.5;4.60;;1;lost;Pakistan;Abu Dhabi;25 Dec 2013;657643;ODI # 3448;15.00-18.30;19.15-22.45;Sheikh Zayed Stadium, Abu Dhabi;True;Sri Lanka, elected to bat first;Sri Lanka tour of United Arab Emirates;2013/14;Mohammad Hafeez;ODI No. 3448;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;25 December 2013 - daynight match (50-over match);Ashan PriyanjanKithuruwan Vithanage;Ahsan RazaRichard Illingworth;Johan Cloete;Shozab Raza;Javagal Srinath;;;Pakistan led the 5-match series 3-1 ;
235;8;49.4;4.73;233;2;won;Pakistan;Abu Dhabi;27 Dec 2013;657645;ODI # 3450;19.15-22.45;15.00-18.30;Sheikh Zayed Stadium, Abu Dhabi;False;Pakistan, elected to bat first;Sri Lanka tour of United Arab Emirates;2013/14;Dinesh Chandimal;ODI No. 3450;15.00 start, First Session 15.00-18.30, Interval 18.30-19.15, Second Session 19.15-22.45;27 December 2013 - daynight match (50-over match);;Johan CloeteShozab Raza;Richard Illingworth;Ahsan Raza;Javagal Srinath;;Mohammad Hafeez;Pakistan won the 5-match series 3-2 ;
180;10;40.0;4.50;;1;won;Bangladesh;Dhaka;17 Feb 2014;690355;ODI # 3469;13.00-16.30;17.15-20.45;Shere Bangla National Stadium, Mirpur, Dhaka;False;Bangladesh, elected to field first;Sri Lanka in Bangladesh ODI Series;2013/14;Thisara Perera;ODI No. 3469;13.00 start, First Session 13.00-16.30, Interval 13.30-17.15, Second Session 17.15-20.45;17 February 2014 - daynight match (50-over match);Al-Amin HossainArafat Sunny;Rod TuckerSharfuddoula;Anisur Rahman;Mahfuzur Rahman;David Boon;;;Sri Lanka led the 3-match series 1-0 ;
289;6;50.0;5.78;;1;won;Bangladesh;Dhaka;20 Feb 2014;690357;ODI # 3470;13.00-16.30;17.15-20.45;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to bat first;Sri Lanka in Bangladesh ODI Series;2013/14;Kumar Sangakkara;ODI No. 3470;13.00 start, First Session 13.00-16.30, Interval 13.30-17.15, Second Session 17.15-20.45;20 February 2014 - daynight match (50-over match);;Anisur RahmanRod Tucker;Sharfuddoula;Mahfuzur Rahman;David Boon;;;Sri Lanka led the 3-match series 2-0 ;
246;4;47.3;5.17;241;2;won;Bangladesh;Dhaka;22 Feb 2014;690359;ODI # 3471;17.15-20.45;13.00-16.30;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to field first;Sri Lanka in Bangladesh ODI Series;2013/14;Kusal Perera;ODI No. 3471;13.00 start, First Session 13.00-16.30, Interval 13.30-17.15, Second Session 17.15-20.45;22 February 2014 - daynight match (50-over match);;Rod TuckerSharfuddoula;Anisur Rahman;Tanvir Ahmed;David Boon;;Sachithra Senanayake;Sri Lanka won the 3-match series 3-0 ;
296;6;50.0;5.92;;1;won;Pakistan;Fatullah;25 Feb 2014;710291;ODI # 3473;14.00-17.30;18.15-21.45;Khan Shaheb Osman Ali Stadium, Fatullah;True;Sri Lanka, elected to bat first;Asia Cup;2013/14;Lasith Malinga;ODI No. 3473;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;25 February 2014 - daynight match (50-over match);Chaturanga de Silva;Bruce OxenfordJohan Cloete;Anisur Rahman;Masudur Rahman;Jeff Crowe;Sri Lanka 4, Pakistan 0;;;
265;8;49.2;5.37;265;2;won;India;Fatullah;28 Feb 2014;710297;ODI # 3476;18.15-21.45;14.00-17.30;Khan Shaheb Osman Ali Stadium, Fatullah;True;Sri Lanka, elected to field first;Asia Cup;2013/14;Kumar Sangakkara;ODI No. 3476;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;28 February 2014 - daynight match (50-over match);;Bruce OxenfordNigel Llong;Ahsan Raza;Tanvir Ahmed;Jeff Crowe;Sri Lanka 4, India 0;;;
253;6;50.0;5.06;;1;won;Afghanistan;Dhaka;3 Mar 2014;710303;ODI # 3481;14.00-17.30;18.15-21.45;Shere Bangla National Stadium, Mirpur, Dhaka;True;Sri Lanka, elected to bat first;Asia Cup;2013/14;Kumar Sangakkara;ODI No. 3481;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;3 March 2014 - daynight match (50-over match);;Bruce OxenfordJohan Cloete;Anisur Rahman;Masudur Rahman;Chris Broad;Sri Lanka 5, Afghanistan 0;;;
208;7;49.0;4.24;205;2;won;Bangladesh;Dhaka;6 Mar 2014;710309;ODI # 3485;18.15-21.45;14.00-17.30;Shere Bangla National Stadium, Mirpur, Dhaka;False;Bangladesh, elected to bat first;Asia Cup;2013/14;Angelo Mathews;ODI No. 3485;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;6 March 2014 - daynight match (50-over match);;Billy BowdenBruce Oxenford;Ahsan Raza;Tanvir Ahmed;Jeff Crowe;Sri Lanka 4, Bangladesh 0;;;
261;5;46.2;5.63;261;2;won;Pakistan;Dhaka;8 Mar 2014;710311;ODI # 3486;18.15-21.45;14.00-17.30;Shere Bangla National Stadium, Mirpur, Dhaka;False;Pakistan, elected to bat first;Asia Cup;2013/14;Lasith Malinga;ODI No. 3486;14.00 start, First Session 14.00-17.30, Interval 17.30-18.15, Second Session 18.15-21.45;8 March 2014 - daynight match (50-over match);;Bruce OxenfordNigel Llong;Nandan;Masudur Rahman;Jeff Crowe;;Lahiru Thirimanne;Sri Lanka won the 2013/14 Asia Cup ;
219;8;50.0;4.38;;1;won;Ireland;Dublin;6 May 2014;706767;ODI # 3490;10.45-14.15;15.00-18.30;Castle Avenue, Dublin;False;Ireland, elected to field first;Sri Lanka tour of England and Ireland;2014;Ajantha Mendis;ODI No. 3490;10.45 start, First Session 10.45-14.15, Interval 14.15-15.00, Second Session 15.00-18.30;6 May 2014 - day match (50-over match);;Richard KettleboroughRichard Smith;;Louis Fourie;Chris Broad;;;Sri Lanka led the 2-match series 1-0 ;
144;10;27.5;5.17;226;2;lost;England;The Oval;22 May 2014;667889;ODI # 3492;17.15-20.45;13.00-16.30;Kennington Oval, London;True;Sri Lanka, elected to field first;Sri Lanka tour of England and Ireland;2014;Chris Jordan;ODI No. 3492;13.00 start, First Session 13.00-16.30, Interval 16.30-17.15, Second Session 17.15-20.45;22 May 2014 - daynight match (50-over match);;Chris GaffaneyRob Bailey;Marais Erasmus;Tim Robinson;Jeff Crowe;;;England led the 5-match series 1-0 ;
