bowling_performance,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,bowling_session,toss,venue_name,opposition_name
good,Tillakaratne Dilshan,13,13,0,56,44,1022,Excellent,inning2,day,lost,Melbourne Cricket Ground,Australia
good,Lasith Malinga,15,15,0,77,47,1023,Excellent,inning1,night,won,Sydney Cricket Ground,Australia
best,Nuwan Kulasekara,15,15,0,77,47,1023,Excellent,inning1,night,won,Sydney Cricket Ground,Australia
good,Thisara Perera,15,15,0,77,47,1023,Excellent,inning1,night,won,Sydney Cricket Ground,Australia
good,Muttiah Muralitharan,15,15,0,77,47,1023,Excellent,inning1,night,won,Sydney Cricket Ground,Australia
best,Suraj Randiv,15,15,0,77,47,1023,Excellent,inning1,night,won,Sydney Cricket Ground,Australia
best,Lasith Malinga,20,15,0,89,67,1019,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
best,Dilhara Fernando,20,15,0,89,67,1019,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
good,Thisara Perera,20,15,0,89,67,1019,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
poor,Jeevan Mendis,20,15,0,89,67,1019,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
best,Suraj Randiv,20,15,0,89,67,1019,Excellent,inning1,day,won,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia
good,Lasith Malinga,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Nuwan Kulasekara,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Angelo Mathews,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Muttiah Muralitharan,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Ajantha Mendis,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Chamara Kapugedera,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,Tillakaratne Dilshan,32,9,0,60,19,1011,Excellent,inning0,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Lasith Malinga,26,22,0,80,97,1011,Poor,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Nuwan Kulasekara,26,22,0,80,97,1011,Poor,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Angelo Mathews,26,22,0,80,97,1011,Poor,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Muttiah Muralitharan,26,22,0,80,97,1011,Poor,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Tillakaratne Dilshan,26,22,0,80,97,1011,Poor,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Rangana Herath,26,22,0,80,97,1011,Poor,inning2,day,won,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Dilhara Fernando,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Thisara Perera,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Angelo Mathews,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Ajantha Mendis,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Chamara Kapugedera,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
poor,Tillakaratne Dilshan,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
best,Rangana Herath,27,19,1,78,39,1007,Excellent,inning1,day,lost,"Sinhalese Sports Club Ground, Colombo",West Indies
good,Nuwan Kulasekara,25,10,0,89,24,1013,Excellent,inning1,night,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,Thisara Perera,25,10,0,89,24,1013,Excellent,inning1,night,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,Ajantha Mendis,25,10,0,89,24,1013,Excellent,inning1,night,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,Muttiah Muralitharan,25,10,0,89,24,1013,Excellent,inning1,night,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,Tillakaratne Dilshan,25,10,0,89,24,1013,Excellent,inning1,night,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
good,Thilan Samaraweera,25,10,0,89,24,1013,Excellent,inning1,night,won,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Canada
best,Nuwan Kulasekara,29,9,0,59,20,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
best,Thisara Perera,29,9,0,59,20,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
best,Angelo Mathews,29,9,0,59,20,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,Muttiah Muralitharan,29,9,0,59,20,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
good,Rangana Herath,29,9,0,59,20,1008,Excellent,inning2,day,lost,"R.Premadasa Stadium, Khettarama, Colombo",Pakistan
