performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
good,1,Mahela Jayawardene,24,2,14,98,41,1010,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
good,2,Tillakaratne Dilshan,24,2,14,98,41,1010,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,3,Upul Tharanga,24,2,14,98,41,1010,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,4,Kumar Sangakkara,24,2,14,98,41,1010,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,1,Mahela Jayawardene,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
best,2,Tillakaratne Dilshan,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,3,Upul Tharanga,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
best,4,Kumar Sangakkara,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,5,Chamara Kapugedera,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,6,Angelo Mathews,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
good,7,Chamara Silva,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,8,Thisara Perera,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,9,Suraj Randiv,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,10,Nuwan Kulasekara,27,9,2,77,55,1008,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,1,Upul Tharanga,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,2,Tillakaratne Dilshan,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
good,3,Kumar Sangakkara,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,4,Mahela Jayawardene,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,5,Chamara Silva,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
good,6,Angelo Mathews,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,7,Thisara Perera,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,8,Suraj Randiv,9,7,0,80,23,1023,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
