"balls","maidens","runs","wickets","dots","fours","sixes","econ","wides","no_balls","player_name","temp","feels","gust","wind","rain","humidity","cloud","pressure","viscosity","inning","result","bowling_session","toss","venue_name","opposition_name","season_id"
"48","1","34","4","30","3","1","4.25","2","0","Thisara Perera","29","33","7","6","0","68","26","1013","Excellent","inning2","won","day","lost","Rangiri Dambulla International Stadium","Pakistan","10"
"24","1","8","1","20","1","0","2","0","0","Seekkuge Prasanna","29","33","7","6","0","68","26","1013","Excellent","inning2","won","day","lost","Rangiri Dambulla International Stadium","Pakistan","10"
"54","0","60","0","28","7","2","6.67","1","0","Dhammika Prasad","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"54","1","59","1","30","9","0","6.56","1","2","Lahiru Gamage","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"24","0","33","0","11","3","2","8.25","1","0","Angelo Mathews","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"42","0","51","0","18","6","1","7.29","1","0","Thisara Perera","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"60","0","78","3","20","4","4","7.8","1","0","Suraj Randiv","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"36","0","47","0","10","4","1","7.83","0","0","Seekkuge Prasanna","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"18","0","19","0","6","2","0","6.33","0","0","Tillakaratne Dilshan","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"12","0","11","1","7","2","0","5.5","0","0","Ashan Priyanjan","30","33","9","4","0","64","0","1011","Excellent","inning2","lost","day","won","Barabati Stadium, Cuttack","India","11"
"24","0","18","0","11","1","0","4.5","0","0","Angelo Mathews","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"48","1","28","0","27","1","0","3.5","1","0","Lahiru Gamage","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"42","0","51","1","20","5","2","7.29","0","1","Dhammika Prasad","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"24","0","35","0","8","3","2","8.75","0","0","Thisara Perera","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"60","0","66","0","26","4","3","6.6","0","0","Suraj Randiv","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"12","0","9","0","4","0","0","4.5","0","0","Tillakaratne Dilshan","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"45","0","53","3","15","5","1","7.07","0","0","Seekkuge Prasanna","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"12","0","14","0","4","2","0","7","0","0","Ashan Priyanjan","29","30","13","6","0","43","0","1012","Excellent","inning1","lost","day","won","Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad","India","11"
"48","0","37","1","26","4","0","4.63","0","0","Nuwan Kulasekara","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"36","0","50","0","19","8","0","8.33","1","0","Lahiru Gamage","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"54","0","43","0","26","3","1","4.78","0","0","Seekkuge Prasanna","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"42","0","33","1","18","1","0","4.71","0","1","Thisara Perera","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"30","0","45","0","7","3","2","9","0","0","Chaturanga de Silva","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"18","0","17","0","9","1","0","5.67","3","0","Angelo Mathews","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"24","0","10","1","15","0","0","2.5","0","0","Tillakaratne Dilshan","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"13","1","8","0","8","1","0","3.69","0","0","Ashan Priyanjan","23","25","16","9","0","58","27","1013","Excellent","inning1","lost","day","won","Rajiv Gandhi International Stadium, Uppal, Hyderabad","India","11"
"54","0","89","1","15","13","2","9.89","0","0","Nuwan Kulasekara","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
"48","1","44","2","28","3","2","5.5","3","0","Angelo Mathews","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
"60","0","77","1","25","9","2","7.7","3","1","Shaminda Eranga","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
"30","0","43","0","10","5","1","8.6","1","0","Thisara Perera","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
"60","0","70","0","22","5","3","7","0","0","Seekkuge Prasanna","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
"42","0","70","0","8","11","0","10","1","0","Ajantha Mendis","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
"6","0","11","0","0","1","0","11","1","0","Tillakaratne Dilshan","29","29","16","10","0","42","0","1013","Excellent","inning2","lost","day","lost","Eden Gardens, Kolkata","India","11"
