performance,batting_position,player_name,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue_name,opposition_name
poor,2,Tillakaratne Dilshan,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
good,3,Kumar Sangakkara,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,4,Mahela Jayawardene,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
good,5,Thilan Samaraweera,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,6,Angelo Mathews,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,7,Nuwan Kulasekara,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,8,Rangana Herath,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,9,Chamara Kapugedera,0.022667415,0.004927699,0.00098554,0.090669662,0.020696336,0.995395202,Excellent,inning2,night,lost,Rangiri Dambulla International Stadium,New Zealand
poor,1,Upul Tharanga,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
good,2,Tillakaratne Dilshan,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,3,Kumar Sangakkara,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,4,Mahela Jayawardene,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,5,Thilan Samaraweera,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,6,Angelo Mathews,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,7,Chamara Kapugedera,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
good,8,Suraj Randiv,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,9,Nuwan Kulasekara,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,10,Lasith Malinga,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,11,Dilhara Fernando,0.026617655,0.001971678,0.002957517,0.080838804,0.036476046,0.99569747,Good,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,1,Upul Tharanga,0.025612867,0.003940441,0.003940441,0.089645036,0.03644908,0.994961386,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,2,Tillakaratne Dilshan,0.025612867,0.003940441,0.003940441,0.089645036,0.03644908,0.994961386,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,3,Kumar Sangakkara,0.025612867,0.003940441,0.003940441,0.089645036,0.03644908,0.994961386,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,4,Mahela Jayawardene,0.025612867,0.003940441,0.003940441,0.089645036,0.03644908,0.994961386,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,5,Chamara Silva,0.025612867,0.003940441,0.003940441,0.089645036,0.03644908,0.994961386,Good,inning1,day,lost,Rangiri Dambulla International Stadium,New Zealand
good,1,Mahela Jayawardene,0.023623134,0.001968595,0.013780162,0.096461132,0.040356188,0.994140235,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
good,2,Tillakaratne Dilshan,0.023623134,0.001968595,0.013780162,0.096461132,0.040356188,0.994140235,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,3,Upul Tharanga,0.023623134,0.001968595,0.013780162,0.096461132,0.040356188,0.994140235,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,4,Kumar Sangakkara,0.023623134,0.001968595,0.013780162,0.096461132,0.040356188,0.994140235,Average,inning2,night,lost,Rangiri Dambulla International Stadium,India
poor,1,Mahela Jayawardene,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
best,2,Tillakaratne Dilshan,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,3,Upul Tharanga,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
best,4,Kumar Sangakkara,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,5,Chamara Kapugedera,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,6,Angelo Mathews,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
good,7,Chamara Silva,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,8,Thisara Perera,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,9,Suraj Randiv,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,10,Nuwan Kulasekara,0.026657882,0.008885961,0.001974658,0.07602433,0.054303093,0.995227599,Excellent,inning1,day,won,Rangiri Dambulla International Stadium,India
poor,1,Upul Tharanga,0.008768132,0.006819659,0,0.077938955,0.02240745,0.996644389,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,2,Tillakaratne Dilshan,0.008768132,0.006819659,0,0.077938955,0.02240745,0.996644389,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
good,3,Kumar Sangakkara,0.008768132,0.006819659,0,0.077938955,0.02240745,0.996644389,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
poor,4,Mahela Jayawardene,0.008768132,0.006819659,0,0.077938955,0.02240745,0.996644389,Excellent,inning2,night,lost,Melbourne Cricket Ground,Australia
