,batting_consistency,batting_form,batting_temp,batting_wind,batting_humidity,batting_cloud,batting_pressure,venue,opposition,season
141,55.6003,29.6249,27,3,79,69,1010,26.9486,31.866,18
142,62.9666,29.3046,26,19,75,28,1006,32.0613,28.0572,6
143,19.8964,7.149,14,14,70,10,1017,14.9108,17.7086,8
144,74.1419,26.4227,19,20,63,8,1018,35.8747,32.0341,7
145,0.0,21.7998,18,12,45,5,1023,16.6821,16.4525,2
146,31.4101,0.0,19,14,67,2,1026,14.4272,13.8368,20
147,40.9425,35.6938,25,4,82,51,1006,32.5956,26.1648,16
148,0.0,0.0,14,21,90,63,1025,0.2566,7.15613,2
149,19.8964,7.149,28,22,71,15,1013,11.4037,15.052,8
150,23.6093,11.6107,33,9,57,21,1012,31.3746,13.4704,15
151,60.1022,31.2978,31,15,28,9,1012,36.6574,38.7267,9
152,23.6093,12.9477,26,16,72,17,1010,7.74727,0.4476,14
153,50.1772,30.15,33,12,55,0,1005,15.2854,32.5809,18
154,35.5758,0.0,16,28,75,63,1019,21.7435,17.3991,16
155,60.1022,33.0075,27,13,70,0,1014,25.219,29.3352,5
156,60.1022,33.0075,33,12,25,4,1010,36.6574,29.3352,5
157,50.1772,11.9432,28,5,32,2,1012,33.843,33.0398,9
158,75.4504,29.2227,29,17,54,3,1015,22.0865,38.4666,5
159,42.0114,23.417,31,10,62,0,1006,2.8925,14.3522,17
160,75.4504,29.2227,29,13,36,47,1013,16.6168,45.2291,5
161,53.017,30.6952,19,20,63,8,1018,69.9165,22.2579,7
162,53.017,0.0,18,23,61,90,1013,19.4995,22.2579,20
163,31.1971,26.0701,18,32,62,55,1015,33.6062,31.5455,20
164,19.8964,17.9395,26,24,81,14,1010,8.14218,15.052,6
165,26.8548,23.4509,21,2,67,46,1015,39.6545,21.9292,15
166,38.8512,0.0,27,2,82,37,1010,23.6153,18.8785,2
167,19.8964,14.4518,26,3,84,40,1010,8.14218,17.7086,9
168,40.9425,35.6938,26,9,85,69,1009,31.6402,26.1648,16
169,38.8512,18.3955,24,18,90,73,1013,59.4545,28.3739,5
170,60.1022,32.2591,27,15,79,22,1009,32.6521,31.1885,4
171,75.4504,43.6873,26,25,82,10,1011,42.5605,38.4666,10
172,58.7808,26.6489,28,12,48,0,1014,22.7427,27.4652,5
173,74.1419,30.646,27,2,87,26,1011,41.6468,30.6374,13
174,60.1022,32.2591,17,17,92,98,1015,39.9604,31.8614,4
175,26.6919,0.0,16,6,74,42,1022,44.4753,41.9497,4
176,28.3833,31.128,14,11,74,78,1015,16.2746,17.1691,10
177,21.6281,0.0,24,18,90,73,1013,17.7541,17.6223,5
178,0.0,17.414,30,10,32,0,1012,10.1392,23.7148,17
179,75.4504,29.2227,33,15,25,8,1012,59.2657,45.2291,5
180,62.9666,17.1701,28,17,74,28,1007,30.7026,27.935,8
181,58.7808,22.7266,26,12,71,18,1005,24.4179,26.6371,16
182,58.7808,0.0,22,15,68,7,1010,19.3421,16.2816,19
183,62.9666,26.0915,20,11,50,6,1009,34.4715,40.7923,1
184,26.8548,23.4509,18,22,83,4,1014,5.74843,21.9292,15
185,50.1772,39.2129,15,15,78,52,1016,54.9284,34.0881,14
186,0.0,12.2085,30,5,35,0,1012,12.7989,16.3609,1
187,35.5758,4.49621,26,18,67,11,1007,21.6035,11.1306,10
188,31.4101,16.9737,28,18,73,33,1009,45.4385,37.5745,6
