batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,player_name,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,is_out,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,match_number,result,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,bowling_contribution
23.6093,0.2238,30,5,0,35,0,1012,4,1,1,1,5.44928,7.6117,1,Suranga Lakmal,0,8,0,0,0.0,1,0.0,0.0,213,10,277,0,10,2941,0,288.64,36.1368,24.0,3.0,0.0,57.0,0.0,1012.0,4.0,2.0,58.5641,45.2125,75.0,60.0,0.0,0.352112676056338
62.9666,26.0915,20,9,0,42,52,1015,4,2,2,1,34.4715,29.9183,1,Upul Tharanga,0,3,0,0,0.0,2,0.0,0.0,249,6,291,246,6,2943,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.1419,45.9018,20,9,0,42,52,1015,4,2,2,1,31.9185,38.0494,1,Tillakaratne Dilshan,49,54,8,0,90.74,2,0.19678714859437751,90.74,249,6,291,246,6,2943,1,264.519,9.7462,26.0,5.0,0.0,33.0,17.0,1014.0,4.0,1.0,28.0079,51.7822,18.0,30.0,1.0,0.07228915662650602
72.1185,45.5833,20,9,0,42,52,1015,4,2,2,1,41.6504,38.9143,1,Kumar Sangakkara,55,51,8,0,107.84,2,0.22088353413654618,107.84,249,6,291,246,6,2943,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.1022,51.1083,20,9,0,42,52,1015,4,2,2,1,36.6574,37.9844,1,Mahela Jayawardene,71,81,5,0,87.65,1,0.285140562248996,87.65,249,6,291,246,6,2943,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.3753,47.0303,20,9,0,42,52,1015,4,2,2,1,50.5071,29.6167,1,Thilan Samaraweera,27,41,2,0,65.85,2,0.10843373493975904,65.85,249,6,291,246,6,2943,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.8255,12.2085,20,9,0,42,52,1015,4,2,2,1,12.7989,16.3609,1,Thilina Kandamby,18,26,0,0,69.23,2,0.07228915662650602,69.23,249,6,291,246,6,2943,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.8244,20.5623,20,9,0,42,52,1015,4,2,2,1,22.3991,19.6594,1,Suraj Randiv,17,30,1,0,56.67,2,0.06827309236947791,56.67,249,6,291,246,6,2943,1,105.123,30.9399,26.0,5.0,0.0,33.0,17.0,1014.0,4.0,1.0,30.2562,53.84,47.0,54.0,1.0,0.18875502008032127
55.6003,43.7288,20,9,0,42,52,1015,4,2,2,1,44.0018,27.4583,1,Thisara Perera,6,6,1,0,100.0,1,0.024096385542168676,100.0,249,6,291,246,6,2943,1,441.988,19.0567,26.0,5.0,0.0,33.0,17.0,1014.0,4.0,1.0,48.9939,85.9906,49.0,50.0,1.0,0.19678714859437751
0.0,21.7998,20,9,0,42,52,1015,4,2,2,1,22.7182,21.7998,1,Thilan Thushara,0,0,0,0,0.0,0,0.0,0.0,249,6,291,246,6,2943,1,31.9636,25.6873,26.0,5.0,0.0,33.0,17.0,1014.0,4.0,1.0,25.5441,21.458,26.0,36.0,0.0,0.10441767068273092
38.8512,38.8512,20,9,0,42,52,1015,4,2,2,1,9.5933,18.8785,1,Nuwan Kulasekara,0,0,0,0,0.0,0,0.0,0.0,249,6,291,246,6,2943,1,413.386,17.9419,26.0,5.0,0.0,33.0,17.0,1014.0,4.0,1.0,31.5971,72.3546,48.0,60.0,4.0,0.1927710843373494
0.0,4.4578,20,9,0,42,52,1015,4,2,2,1,4.4906,4.4578,1,Chanaka Welegedara,0,0,0,0,0.0,0,0.0,0.0,249,6,291,246,6,2943,1,29.6395,20.1244,26.0,5.0,0.0,33.0,17.0,1014.0,4.0,1.0,19.6409,20.5927,53.0,60.0,3.0,0.21285140562248997
62.9666,26.0915,14,21,1,90,63,1025,4,1,1,0,33.8978,29.9183,2,Upul Tharanga,1,2,0,0,50.0,2,0.004132231404958678,50.0,242,10,299,0,7,2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.1419,45.9018,14,21,1,90,63,1025,4,1,1,0,69.7446,38.0494,2,Tillakaratne Dilshan,61,84,4,1,72.62,2,0.25206611570247933,72.62,242,10,299,0,7,2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.3753,47.0303,14,21,1,90,63,1025,4,1,1,0,20.9323,29.6167,2,Thilan Samaraweera,19,24,2,0,79.17,2,0.07851239669421488,79.17,242,10,299,0,7,2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.4504,75.4504,14,21,1,90,63,1025,4,1,1,0,46.6586,45.2291,2,Angelo Mathews,75,95,2,2,78.95,2,0.30991735537190085,78.95,242,10,299,0,7,2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.3925,24.3925,14,21,1,90,63,1025,4,1,1,0,15.7288,20.5678,2,Chamara Kapugedera,20,48,0,0,41.67,2,0.08264462809917356,41.67,242,10,299,0,7,2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.5617,10.5895,14,21,1,90,63,1025,4,1,1,0,17.6516,30.6231,2,Chamara Silva,5,5,1,0,100.0,2,0.02066115702479339,100.0,242,10,299,0,7,2983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.6003,43.7288,14,21,1,90,63,1025,4,1,1,0,35.9532,27.4583,2,Thisara Perera,32,23,2,1,139.13,2,0.1322314049586777,139.13,242,10,299,0,7,2983,0,441.988,19.0567,13.0,18.0,3.0,91.0,69.0,1023.0,4.0,1.0,18.8779,85.9906,35.0,42.0,0.0,0.1446280991735537
38.8512,38.8512,14,21,1,90,63,1025,4,1,1,0,29.4698,18.8785,2,Nuwan Kulasekara,19,14,1,1,135.71,2,0.07851239669421488,135.71,242,10,299,0,7,2983,0,413.386,17.9419,13.0,18.0,3.0,91.0,69.0,1023.0,4.0,1.0,24.2838,72.3546,34.0,54.0,1.0,0.14049586776859505
22.8244,20.5623,14,21,1,90,63,1025,4,1,1,0,8.2656,19.6594,2,Suraj Randiv,1,2,0,0,50.0,2,0.004132231404958678,50.0,242,10,299,0,7,2983,0,105.123,30.9399,13.0,18.0,3.0,91.0,69.0,1023.0,4.0,1.0,11.2107,53.84,51.0,54.0,1.0,0.21074380165289255
4.77716,4.77716,14,21,1,90,63,1025,4,1,1,0,0.2566,7.15613,2,Dilhara Fernando,0,0,0,0,0.0,1,0.0,0.0,242,10,299,0,7,2983,0,58.5243,58.5243,13.0,18.0,3.0,91.0,69.0,1023.0,4.0,1.0,17.7668,22.1115,58.0,51.0,0.0,0.2396694214876033
19.7214,19.7214,14,21,1,90,63,1025,4,1,1,0,16.2746,17.027,2,Ajantha Mendis,2,2,0,0,100.0,2,0.008264462809917356,100.0,242,10,299,0,7,2983,0,183.552,183.552,13.0,18.0,3.0,91.0,69.0,1023.0,4.0,1.0,15.2018,27.6534,64.0,60.0,1.0,0.2644628099173554
