,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_contribution,strike_rate,total_score,total_wickets,total_balls,target,extras,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,deliveries,wickets_taken,bowling_contribution,economy
24,62.9666,21.3401,15,15,0,78,52,1016,3,1,0,0,20.511,20.8176,0,0,0,0,2,0.0231023102310231,116.67,303,7,300,303.0,10,0.0,0.0,16.0,18.0,0.0,79.0,52.0,1016.0,3.0,0.0,0.0,0.0,0,0,0.0,0
25,33.3753,47.0303,20,9,0,42,52,1015,3,2,1,1,50.5071,29.6167,0,1,0,0,1,0.108433734939759,65.85,249,6,291,246.0,6,0.0,0.0,26.0,5.0,0.0,33.0,17.0,1014.0,3.0,0.0,0.0,0.0,0,0,0.0,0
26,75.4504,33.0998,19,18,0,61,47,1014,3,1,0,0,36.6616,28.3293,0,0,0,0,1,0.0474308300395256,60.0,253,8,300,253.0,18,354.802,46.1085,17.0,18.0,0.0,65.0,31.0,1013.0,3.0,0.0,22.789,48.0335,0,0,0.0830039525691699,2
27,58.7808,26.6489,26,19,0,75,28,1006,3,1,0,1,24.4179,27.4652,1,1,0,0,1,0.1142857142857142,62.75,280,4,300,280.0,16,0.0,0.0,23.0,15.0,0.0,87.0,30.0,1008.0,3.0,0.0,0.0,0.0,0,0,0.0,0
28,36.6786,15.4675,25,13,0,38,0,1014,3,1,0,1,30.8039,20.0408,0,0,0,0,0,0.0271493212669683,54.55,221,10,300,221.0,9,39.0088,7.3059,25.0,15.0,0.0,30.0,3.0,1011.0,3.0,0.0,3.6415,11.8319,0,0,0.0180995475113122,1
29,31.1971,31.1971,30,24,0,27,4,1015,3,1,0,0,22.1296,31.5455,1,2,1,0,0,0.1757575757575757,96.67,330,7,300,330.0,12,0.0,0.0,30.0,21.0,0.0,22.0,6.0,1011.0,3.0,0.0,0.0,0.0,0,0,0.0,0
30,74.1419,45.9018,17,21,0,66,31,1022,3,1,0,1,32.6855,32.0341,1,1,1,0,0,0.2206572769953051,82.46,213,3,247,213.0,13,0.0,0.0,15.0,15.0,0.0,77.0,47.0,1023.0,3.0,0.0,0.0,0.0,0,0,0.0,0
31,62.9666,23.5088,28,15,0,70,51,1015,3,1,0,0,11.7117,29.9183,0,0,0,0,0,0.0547263681592039,37.93,201,10,293,201.0,23,0.0,0.0,29.0,16.0,0.0,70.0,7.0,1012.0,3.0,0.0,0.0,0.0,0,0,0.0,0
32,26.6919,10.7228,21,10,0,40,9,1014,3,1,0,1,7.27035,18.0652,0,0,0,0,0,0.0181159420289855,31.25,276,10,297,276.0,16,0.0,0.0,22.0,16.0,0.0,37.0,4.0,1015.0,3.0,0.0,0.0,0.0,0,0,0.0,0
33,58.7808,40.2898,15,15,0,78,52,1016,3,1,0,0,60.4892,42.8057,3,3,1,0,1,0.33003300330033,93.46,303,7,300,303.0,10,0.0,0.0,16.0,18.0,0.0,79.0,52.0,1016.0,3.0,0.0,0.0,0.0,0,0,0.0,0
34,35.5758,35.5758,22,15,0,68,7,1010,3,2,1,0,24.7356,13.3835,0,0,0,0,2,0.0337423312883435,157.14,326,10,294,372.0,23,594.115,594.115,25.0,17.0,0.0,53.0,6.0,1010.0,3.0,0.0,16.3779,51.0771,1,1,0.2392638036809816,2
