,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,player_name
20,21.7189,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,18.8415,20,0.7786496312498014,3.2532650454528285,0.03161616254087475,0.009722867361429922,7.280578652506927,0.23934404986096655,38
21,20.5773,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,31.787,20,0.7786496312498014,3.3052426239281645,0.03161616254087475,0.009722867361429922,7.280578652506927,0.23558017363469785,39
22,0.0,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.256350298117114,0.03161616254087475,0.01256687254428375,9.887437463776566,0.2391172816081955,40
23,40.9425,27.4428,27,13,0,86,23,1010,3,2,1,0,32.8637,23.927,20,29.232595159300853,32.11807434045616,3.109384748136425,0.41309568314479433,2.734372298915207,0.910160268309712,41
24,17.6814,7.149,27,13,0,86,23,1010,3,2,1,0,0.0,8.2328,20,0.7786496312498014,3.174891788592729,0.03161616254087475,0.009722867361429922,9.746694227587573,0.2452523371182165,42
25,29.9675,0.0,27,13,0,86,23,1010,3,2,1,0,26.0396,23.0997,20,16.865516181187775,20.337709345147196,1.3712322028038941,0.29546147561977626,7.048955438467017,0.8292731445300193,44
26,26.8548,0.0,27,13,0,86,23,1010,3,2,1,0,20.9267,28.0977,20,15.401921713265432,19.81948590730398,1.745465778911509,0.2345846466283135,7.134941824824701,0.7771100514564525,45
27,36.6786,32.812,27,13,0,86,23,1010,3,2,1,0,10.8113,20.0408,20,5.636041683630311,10.731872654944793,0.3512850164031386,0.01872139594539374,2.8989564607968,0.5251685204290476,46
28,21.4743,11.1555,27,13,0,86,23,1010,3,2,1,0,17.731,33.8394,20,14.89446280358042,20.916753750748697,1.3145697579009847,0.23470243961969267,6.942395346345712,0.7120829064140647,47
29,12.1097,0.0,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.256350298117114,0.03161616254087475,0.009722867361429922,9.919752756831455,0.2391172816081955,48
30,42.0114,14.2087,27,13,0,86,23,1010,3,2,1,0,39.8244,34.154,20,40.796915227614384,42.574896936790985,3.646651586966949,3.3782918873850747,2.6221131480639444,0.958238731339355,49
31,33.1031,24.6616,27,13,0,86,23,1010,3,2,1,0,37.6255,26.9792,20,34.71350282855416,33.72693246882239,3.232502994059367,0.9275966333215533,6.050581845570618,1.0292517073897476,50
32,31.1971,24.7374,27,13,0,86,23,1010,3,2,1,0,24.0505,15.6412,20,15.523506210446428,18.934880554245172,1.2541431447684404,0.27561714353137623,7.1589092364635505,0.8198365004719336,51
33,23.747,22.5688,27,13,0,86,23,1010,3,2,1,0,26.0588,24.1428,20,17.51985500071653,21.09053814958766,1.496804723490039,0.282487647125247,6.165909049381258,0.8306973902920092,53
34,8.8224,3.9093,27,13,0,86,23,1010,3,2,1,0,13.6086,3.9093,20,7.592233748527288,12.32388440017723,0.5318358629079981,0.06108350604515609,9.650824247864824,0.6160585008747814,54
35,28.35,22.4449,27,13,0,86,23,1010,3,2,1,0,27.382,24.6924,20,17.89503552220652,21.48790327698589,1.5358651066630742,0.32276223900662976,5.985932716232407,0.8327957963852423,55
36,29.7883,16.8071,27,13,0,86,23,1010,3,2,1,0,0.0,23.6162,20,0.7786496312498014,3.33632325334264,0.03161616254087475,0.009722867361429922,6.690314935024545,0.2333855481388614,56
37,9.12361,8.19506,27,13,0,86,23,1010,3,2,1,0,0.0,8.00706,20,0.7786496312498014,3.174891788592729,0.03161616254087475,0.009722867361429922,9.852985774585068,0.2452523371182165,58
38,9.00736,12.6159,27,13,0,86,23,1010,3,2,1,0,0.0,0.2238,20,0.7786496312498014,3.2201002981171136,0.03161616254087475,0.009722867361429922,9.3810534042331,0.24180912368012278,60
39,22.1746,0.0,27,13,0,86,23,1010,3,2,1,0,32.8014,23.7148,20,29.232595159300853,30.023737691440093,3.109384748136425,0.4573620491389401,7.184671631228606,0.9736494323168564,61
40,22.8727,20.1611,27,13,0,86,23,1010,3,2,1,0,22.8542,14.6339,20,15.401550061080206,18.81450348418148,1.2541431447684404,0.2696616216163088,8.53737461465695,0.8185998675983793,62
41,16.4921,4.99451,27,13,0,86,23,1010,3,2,1,0,20.0995,0.0,20,12.695853367967466,16.746841652742397,1.0975835457678698,0.24024898680678886,9.471675638262099,0.7581043417753008,63
42,17.658,25.1745,27,13,0,86,23,1010,3,2,1,0,42.0857,0.0,20,32.77055453922775,30.725199455760112,2.920383334088948,1.9587739493576455,8.108554378972455,1.0665693020614124,66
43,17.6372,20.3058,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.3522048585905124,0.03161616254087475,0.009722867361429922,9.036641126641209,0.23227984687582515,69
44,0.0,0.4476,27,13,0,86,23,1010,3,2,1,0,0.2566,0.2238,20,0.7786496312498014,3.256350298117114,0.03161616254087475,0.01256687254428375,9.887437463776566,0.2391172816081955,70
45,22.7797,36.675,27,13,0,86,23,1010,3,2,1,0,0.0,0.0,20,0.7786496312498014,3.6113559519035046,0.03161616254087475,0.009722867361429922,8.038743415909803,0.2156114328302044,72
