,wickets,econ,bowling_performance,bowling_performance
1175,0,7.33,0,best
1176,4,4.93,1,good
1177,2,4.75,1,good
1178,2,4.7,1,good
1179,0,7,0,best
1180,0,8,2,poor
1181,2,3.3,1,good
1182,0,4.6,0,best
1183,0,5.7,0,best
1184,1,5.1,0,best
1185,2,5.4,0,best
1186,0,6.4,0,best
1187,1,7.2,0,best
1188,2,7,0,best
1189,1,7.2,0,best
1190,1,7.3,0,best
1191,1,6,0,best
1192,0,5.13,0,best
1193,1,2.33,1,good
1194,1,5.29,0,best
1195,1,4.8,0,best
1196,3,6,0,best
1197,1,5.38,0,best
1198,0,3.8,1,good
1199,0,2,1,good
1200,0,3,1,good
1201,1,5.67,0,best
1202,0,5.78,0,best
1203,1,6.1,0,best
1204,0,8.88,2,poor
1205,0,6.5,0,best
1206,0,9,2,poor
1207,2,6.43,0,best
1208,0,5.67,0,best
1209,1,2.57,1,good
1210,0,4.6,0,best
1211,4,5.2,1,good
1212,1,3,1,good
1213,1,9,2,poor
1214,3,5.63,1,good
1215,1,7.89,2,poor
1216,1,4.67,1,good
1217,0,4.86,0,best
1218,1,7.3,0,best
1219,2,6.29,0,best
1220,2,5.3,0,best
1221,0,5,0,best
1222,0,4.5,0,best
1223,0,11,2,poor
1224,1,6.4,0,best
1225,1,5.86,0,best
1226,3,6.67,0,best
1227,1,13.5,2,poor
1228,0,8,2,poor
1229,2,4.4,1,good
1230,0,8.33,2,poor
1231,1,5.75,0,best
1232,4,4.7,1,good
1233,0,7.3,0,best
1234,0,4,1,good
1235,0,2,1,good
1236,0,6.5,0,best
1237,0,7.17,0,best
1238,0,4.5,0,best
1239,0,9,2,poor
1240,0,10.5,2,poor
1241,0,7.24,0,best
1242,0,6.13,0,best
1243,0,5.05,0,best
1244,0,3.67,1,good
1245,0,6.43,0,best
1246,6,5.4,1,good
1247,1,3.9,1,good
1248,1,5,0,best
1249,1,4.29,1,good
1250,0,5.9,0,best
1251,0,5.67,0,best
1252,2,3.8,1,good
1253,0,4.78,0,best
1254,1,8.2,2,poor
1255,1,9.5,2,poor
1256,2,4,1,good
1257,0,7.22,0,best
1258,1,6.8,0,best
1259,0,9.5,2,poor
1260,0,7.2,0,best
1261,1,4.38,1,good
1262,1,5.71,0,best
1263,0,4.9,0,best
1264,0,4.67,0,best
1265,1,4,1,good
1266,0,7,0,best
1267,1,6.44,0,best
1268,2,4.7,1,good
1269,1,6.13,0,best
1270,1,6.38,0,best
1271,1,8.5,2,poor
1272,1,4.7,1,good
1273,0,4.67,0,best
1274,1,4.2,1,good
1275,4,5.7,1,good
1276,1,4.89,0,best
1277,2,3.4,1,good
1278,0,3.33,1,good
1279,0,4.5,0,best
1280,1,5,0,best
1281,0,3.3,1,good
1282,0,5.7,0,best
1283,1,4.53,1,good
1284,0,6,0,best
1285,1,5.5,0,best
1286,0,3.57,1,good
1287,1,5.4,0,best
1288,1,3.63,1,good
1289,1,4.4,1,good
1290,0,4,1,good
1291,0,6.8,0,best
1292,0,3.25,1,good
1293,0,5.25,0,best
1294,1,4.74,1,good
1295,0,9,2,poor
1296,0,5.25,0,best
1297,4,1.3,1,good
1298,1,1.6,1,good
1299,2,3.7,1,good
1300,1,6.69,0,best
1301,1,1.4,1,good
1302,1,4,1,good
1303,0,2.25,1,good
1304,0,8.88,2,poor
1305,3,10,2,poor
1306,0,10.6,2,poor
1307,0,5.1,0,best
1308,1,7,0,best
1309,0,10,2,poor
1310,0,4,1,good
1311,1,7.4,0,best
1312,0,10,2,poor
1313,0,8.25,2,poor
1314,0,3.33,1,good
1315,1,5,0,best
1316,0,7.5,2,poor
1317,0,12,2,poor
1318,1,7,0,best
1319,0,6.7,0,best
1320,2,4.3,1,good
1321,0,5.1,0,best
1322,0,6,0,best
1323,3,5.29,1,good
1324,0,6.67,0,best
1325,2,6.6,0,best
1326,1,4,1,good
1327,3,6.67,0,best
1328,1,7.6,2,poor
1329,0,7.29,0,best
1330,0,3.29,1,good
1331,3,3.5,1,good
1332,4,4.13,1,good
1333,0,4.5,0,best
1334,2,5.7,0,best
1335,0,4,1,good
1336,3,3,1,good
1337,2,1.2,1,good
1338,2,4.5,1,good
1339,2,4,1,good
1340,0,3.22,1,good
1341,2,2.13,1,good
1342,0,4.43,0,best
1343,3,4.22,1,good
1344,2,3.33,1,good
1345,0,2,1,good
1346,3,5,1,good
1347,1,6.17,0,best
1348,0,5.75,0,best
1349,0,3.67,1,good
1350,1,9.25,2,poor
1351,1,5.57,0,best
1352,1,7.54,2,poor
1353,3,6,0,best
1354,1,4.86,0,best
1355,0,5.3,0,best
1356,0,5.33,0,best
1357,0,6.56,0,best
1358,2,6.7,0,best
1359,1,8.1,2,poor
1360,4,7.5,0,best
1361,0,7,0,best
1362,0,6.4,0,best
1363,3,9.2,2,poor
1364,1,10,2,poor
1365,2,8,2,poor
1366,1,10,2,poor
1367,0,9.33,2,poor
1368,1,6.5,0,best
1369,1,5.5,0,best
1370,6,3.22,1,good
1371,1,5.25,0,best
1372,0,7,0,best
1373,2,6,0,best
1374,4,2.3,1,good
1375,1,4.6,1,good
1376,1,6.11,0,best
1377,1,6.8,0,best
1378,0,8.33,2,poor
1379,2,5.43,0,best
1380,0,6.33,0,best
1381,1,6.6,0,best
1382,1,4.3,1,good
1383,5,6.11,1,good
1384,2,3.9,1,good
1385,0,4.4,0,best
1386,1,3.67,1,good
1387,0,7.4,0,best
1388,1,4.6,1,good
1389,1,6,0,best
1390,5,4.4,1,good
1391,1,5.2,0,best
1392,1,6.4,0,best
1393,1,5.29,0,best
1394,0,6.56,0,best
1395,1,4.75,1,good
1396,0,9.75,2,poor
1397,2,7.71,2,poor
1398,1,8.25,2,poor
1399,0,5.75,0,best
1400,0,10.5,2,poor
1401,0,8,2,poor
1402,0,3,1,good
1403,0,6.17,0,best
1404,0,5.4,0,best
1405,2,3.86,1,good
1406,0,4.5,0,best
1407,1,4.2,1,good
1408,3,3.33,1,good
1409,0,9,2,poor
1410,1,4.5,1,good
1411,4,3.08,1,good
1412,0,11.67,2,poor
1413,2,7.8,2,poor
1414,2,9,2,poor
1415,2,8,2,poor
1416,0,6,0,best
1417,0,6.4,0,best
1418,0,5,0,best
1419,0,10,2,poor
1420,2,4.5,1,good
1421,1,6.56,0,best
1422,0,10,2,poor
1423,0,9.86,2,poor
1424,0,5.6,0,best
1425,0,6.8,0,best
1426,0,5,0,best
1427,3,9.3,2,poor
1428,0,6.88,0,best
1429,0,8.56,2,poor
1430,0,4,1,good
1431,1,5.4,0,best
1432,0,6,0,best
1433,0,7,0,best
1434,0,5.29,0,best
1435,1,8.6,2,poor
1436,1,5.2,0,best
1437,0,7.33,0,best
1438,0,5.25,0,best
1439,0,5.69,0,best
1440,2,4.33,1,good
1441,1,9.4,2,poor
1442,2,6.88,0,best
1443,1,6.57,0,best
1444,1,4.15,1,good
1445,3,3.71,1,good
1446,1,6.8,0,best
1447,2,6.25,0,best
1448,1,8.63,2,poor
1449,0,6.22,0,best
1450,0,7.6,2,poor
1451,1,4.5,1,good
1452,3,4.1,1,good
1453,0,5.43,0,best
1454,0,7.5,2,poor
1455,1,6.4,0,best
1456,0,8.5,2,poor
1457,0,8,2,poor
1458,0,4.59,0,best
1459,1,3.67,1,good
1460,0,3,1,good
1461,0,5.29,0,best
1462,0,5.43,0,best
1463,1,4,1,good
1464,0,5.5,0,best
1465,2,7.86,2,poor
1466,4,4.86,1,good
1467,0,5.63,0,best
1468,1,6.57,0,best
1469,1,4.43,1,good
1470,0,9.2,2,poor
1471,0,7,0,best
1472,0,8,2,poor
1473,0,8.33,2,poor
1474,0,9.43,2,poor
1475,3,5.85,0,best
1476,0,4.5,0,best
1477,1,4.67,1,good
1478,4,3.44,1,good
1479,1,4.75,1,good
1480,0,7,0,best
1481,1,6.1,0,best
1482,0,8.8,2,poor
1483,2,5.7,0,best
1484,0,6.7,0,best
1485,2,5,1,good
1486,0,8.5,2,poor
1487,4,4.3,1,good
1488,1,3.8,1,good
1489,3,4,1,good
1490,0,4.25,1,good
1491,2,5.13,1,good
1492,0,7.67,2,poor
1493,1,4.7,1,good
1494,0,4.5,0,best
1495,0,7.83,2,poor
1496,0,5.25,0,best
1497,0,5.14,0,best
1498,0,5.8,0,best
1499,3,5.5,1,good
1500,0,4.9,0,best
1501,0,6.7,0,best
1502,1,7.6,2,poor
1503,1,7.14,0,best
1504,0,7,0,best
1505,1,3,1,good
1506,1,8.2,2,poor
1507,1,5.88,0,best
1508,1,5.26,0,best
1509,0,3.4,1,good
1510,0,8.5,2,poor
1511,3,3.93,1,good
1512,3,5.67,0,best
1513,0,6,0,best
1514,1,6.43,0,best
1515,2,4.9,1,good
1516,0,3.9,1,good
1517,2,5.3,0,best
1518,2,5.8,0,best
1519,0,4.2,1,good
1520,2,3.9,1,good
1521,0,6.67,0,best
1522,2,3.4,1,good
1523,1,4.4,1,good
1524,3,4.5,1,good
1525,1,4,1,good
1526,2,5.2,1,good
1527,0,4.8,0,best
1528,0,6.56,0,best
1529,1,6.67,0,best
1530,1,5.9,0,best
1531,0,4,1,good
1532,2,6.3,0,best
1533,2,5.68,0,best
1534,0,5.6,0,best
1535,1,7.86,2,poor
1536,0,6.2,0,best
1537,1,5.4,0,best
1538,1,5.57,0,best
