,wickets,econ,bowling_performance,bowling_performance
255,1,2,1,good
256,0,4.38,0,best
257,3,5.35,1,good
258,0,7,0,best
259,2,4,1,good
260,0,6,0,best
261,0,5.75,0,best
262,0,5.67,0,best
263,3,4,1,good
264,2,3.33,1,good
265,2,6,0,best
266,0,4,1,good
267,0,3,1,good
268,0,4.78,0,best
269,2,5.7,0,best
270,1,4.5,1,good
271,0,5.9,0,best
272,1,4.75,1,good
273,2,4.33,1,good
274,0,5,0,best
275,1,4,1,good
276,1,3.6,1,good
277,3,2.6,1,good
278,2,4.44,1,good
279,2,5.5,0,best
280,0,3,1,good
281,1,3.11,1,good
282,0,4.57,0,best
283,0,6,0,best
284,2,5.04,1,good
285,1,2.2,1,good
286,3,5.14,1,good
287,0,6,0,best
288,5,5.4,1,good
289,1,5,0,best
290,0,7.22,0,best
291,0,4.6,0,best
292,0,6,0,best
293,0,8.5,2,poor
294,1,6.75,0,best
295,1,3.8,1,good
296,0,5.88,0,best
297,0,6.5,0,best
298,3,4.6,1,good
299,0,5.08,0,best
300,0,6,0,best
301,0,4.44,0,best
302,2,4,1,good
303,0,5.17,0,best
304,0,7.6,2,poor
305,0,4,1,good
306,1,4.4,1,good
307,0,7,0,best
308,0,5.25,0,best
309,1,5.7,0,best
310,1,5,0,best
311,0,5.3,0,best
312,2,8.5,2,poor
313,0,6,0,best
314,0,7.5,2,poor
315,2,5,1,good
316,0,4.6,0,best
317,2,7.9,2,poor
318,0,5.33,0,best
319,0,9.14,2,poor
320,1,5.56,0,best
321,0,6,0,best
322,0,4.78,0,best
323,1,5.44,0,best
324,0,4.75,0,best
325,1,4.7,1,good
326,2,3.21,1,good
327,1,7.4,0,best
328,0,5.4,0,best
329,2,4.8,1,good
330,2,3.9,1,good
331,2,4.11,1,good
332,2,6,0,best
333,2,4.5,1,good
334,0,1,1,good
335,2,5.3,0,best
336,1,3.9,1,good
337,0,7,0,best
338,2,5,1,good
339,0,3.3,1,good
340,0,5,0,best
341,1,4.75,1,good
342,0,3.63,1,good
343,2,2.25,1,good
