total_score,total_balls,runs,balls,fours,sixes,strike_rate,match_id,batting_position,player_name,player_consistency,player_form,temp,wind,rain,humidity,cloud,pressure,viscosity,inning,batting_session,toss,venue,opposition,season,result
312,300,37,30,1,2,123.33,455233,6,Chamara Kapugedera,24.3925,27.5998,27,2,7,91,56,1009,Good,1,day,1,28.4033,57.162,2,1
211,225,38,46,6,0,82.61,455236,1,Upul Tharanga,62.9666,26.0915,25,4,6,99,54,1010,Good,2,night,1,26.0712,29.9183,2,1
211,225,24,16,4,1,150.0,455236,2,Tillakaratne Dilshan,74.1419,45.9018,25,4,6,99,54,1010,Good,2,night,1,39.453,38.0494,2,1
211,225,73,82,10,0,89.02,455236,3,Kumar Sangakkara,72.1185,45.5833,25,4,6,99,54,1010,Good,2,night,1,30.046,38.9143,2,1
211,225,53,67,5,1,79.1,455236,4,Mahela Jayawardene,60.1022,51.1083,25,4,6,99,54,1010,Good,2,night,1,34.1429,37.9844,2,1
211,225,7,14,0,0,50.0,455236,5,Thilina Kandamby,15.8255,12.2085,25,4,6,99,54,1010,Good,2,night,1,26.7018,16.3609,2,1
187,268,16,30,1,0,53.33,455237,1,Upul Tharanga,62.9666,26.0915,25,4,11,100,57,1008,Average,2,night,0,26.0712,29.9183,2,0
187,268,0,2,0,0,0.0,455237,2,Tillakaratne Dilshan,74.1419,45.9018,25,4,11,100,57,1008,Average,2,night,0,39.453,38.0494,2,0
187,268,17,38,2,0,44.74,455237,3,Kumar Sangakkara,72.1185,45.5833,25,4,11,100,57,1008,Average,2,night,0,30.046,38.9143,2,0
187,268,11,19,1,0,57.89,455237,4,Mahela Jayawardene,60.1022,51.1083,25,4,11,100,57,1008,Average,2,night,0,34.1429,37.9844,2,0
187,268,0,2,0,0,0.0,455237,5,Angelo Mathews,75.4504,25.5084,25,4,11,100,57,1008,Average,2,night,0,28.2105,45.2291,2,0
187,268,31,45,2,0,68.89,455237,6,Thilina Kandamby,15.8255,12.2085,25,4,11,100,57,1008,Average,2,night,0,26.7018,16.3609,2,0
187,268,55,88,4,1,62.5,455237,7,Chamara Kapugedera,24.3925,27.5998,25,4,11,100,57,1008,Average,2,night,0,28.4033,20.5678,2,0
187,268,10,14,1,0,71.43,455237,8,Farveez Maharoof,21.6281,10.7667,25,4,11,100,57,1008,Average,2,night,0,11.0947,20.9862,2,0
187,268,20,16,4,0,125.0,455237,9,Nuwan Kulasekara,38.8512,24.0802,25,4,11,100,57,1008,Average,2,night,0,23.6153,18.8785,2,0
187,268,7,11,1,0,63.64,455237,10,Lasith Malinga,35.5758,16.7592,25,4,11,100,57,1008,Average,2,night,0,20.3233,22.6286,2,0
187,268,2,5,0,0,40.0,455237,11,Muttiah Muralitharan,0.0,12.3618,25,4,11,100,57,1008,Average,2,night,0,12.4274,7.149,2,0
195,245,70,109,9,0,64.22,456664,1,Upul Tharanga,62.9666,26.0915,23,5,1,92,21,1010,Excellent,2,night,0,26.0712,24.1167,2,1
195,245,5,9,1,0,55.56,456664,2,Tillakaratne Dilshan,74.1419,45.9018,23,5,1,92,21,1010,Excellent,2,night,0,39.453,40.629,2,1
195,245,48,62,5,0,77.42,456664,3,Kumar Sangakkara,72.1185,45.5833,23,5,1,92,21,1010,Excellent,2,night,0,30.046,40.8657,2,1
