catches,run_outs,dropped_catches,missed_run_outs,fielding_consistency,fielding_temp,fielding_wind,fielding_rain,fielding_humidity,fielding_cloud,fielding_pressure,fielding_viscosity,fielding_inning,fielding_session,toss,season,success_rate
1,0,0,0,0.0,28,3,11,89,66,1010,1,2,0,0,2,1.0
1,0,0,0,0.740741,28,3,11,89,66,1010,1,2,0,0,2,1.0
0,1,0,0,0.888889,23,6,3,95,45,1008,2,1,1,1,2,1.0
2,1,0,1,0.90678,23,6,3,95,45,1008,2,1,1,1,2,0.75
1,0,0,0,0.743902,23,6,3,95,45,1008,2,1,1,1,2,1.0
1,0,0,0,0.740741,23,6,3,95,45,1008,2,1,1,1,2,1.0
1,0,0,0,0.892473,23,6,3,95,45,1008,2,1,1,1,2,1.0
1,0,0,0,0.0,13,13,0,56,44,1022,3,2,0,0,3,1.0
1,0,0,0,0.740741,13,13,0,56,44,1022,3,2,0,0,3,1.0
0,0,2,0,0.792208,13,13,0,56,44,1022,3,2,0,0,3,0.0
3,0,1,1,0.90678,13,13,0,56,44,1022,3,2,0,0,3,0.6
1,0,0,0,0.0,15,15,0,77,47,1023,3,1,1,1,3,1.0
1,0,0,0,0.0,15,15,0,77,47,1023,3,1,1,1,3,1.0
1,0,1,0,0.743902,15,15,0,77,47,1023,3,1,1,1,3,0.5
0,1,0,0,0.90678,15,15,0,77,47,1023,3,1,1,1,3,1.0
0,1,0,0,0.792208,15,15,0,77,47,1023,3,1,1,1,3,1.0
0,1,0,0,0.777778,15,15,0,77,47,1023,3,1,1,1,3,1.0
1,0,0,0,0.892473,15,15,0,77,47,1023,3,1,1,1,3,1.0
0,0,1,0,0.75,20,15,0,89,67,1019,3,1,0,1,3,0.0
1,0,0,0,0.743902,20,15,0,89,67,1019,3,1,0,1,3,1.0
1,0,0,0,0.0,20,15,0,89,67,1019,3,1,0,1,3,1.0
1,0,0,1,0.90678,32,9,0,60,19,1011,3,0,0,0,3,0.5
0,0,1,0,0.792208,32,9,0,60,19,1011,3,0,0,0,3,0.0
2,1,0,0,0.888889,32,9,0,60,19,1011,3,0,0,0,3,1.0
0,1,0,0,0.0,32,9,0,60,19,1011,3,0,0,0,3,1.0
1,0,0,0,0.857143,26,22,0,80,97,1011,0,2,0,1,3,1.0
0,1,0,0,0.882353,26,22,0,80,97,1011,0,2,0,1,3,1.0
1,1,0,1,0.792208,26,22,0,80,97,1011,0,2,0,1,3,0.6666666666666666
