runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
0,4,0,0,8,24.9177,3.19997,18,10,0,40,7,1012,3,1,0,1,0.2566,16.2269,11
0,1,0,0,9,19.7214,25.4584,18,10,0,40,7,1012,3,1,0,1,0.2566,17.027,11
0,4,0,0,2,50.1772,22.8585,26,18,3,86,27,1011,2,1,0,1,41.657,20.7544,11
0,2,0,0,4,0,0,26,18,3,86,27,1011,2,1,0,1,0.2566,11.028,11
0,2,0,0,2,50.1772,22.8585,24,1,0,89,53,1010,3,1,0,0,36.2459,20.7544,11
0,2,0,0,9,28.3833,21.3372,24,1,0,89,53,1010,3,1,0,0,13.0322,17.1691,11
0,1,0,0,11,19.7214,25.4584,24,1,0,89,53,1010,3,1,0,0,2.56331,32.3852,11
0,0,0,0,7,24.9177,3.19997,27,7,0,79,36,1009,3,1,0,1,11.3283,20.5086,11
0,1,0,0,8,55.6003,29.4999,25,6,0,37,34,1010,3,1,0,1,0.2566,27.4572,11
0,1,0,0,5,75.4504,34.7628,21,10,0,40,9,1014,3,1,0,1,0.2566,28.4227,11
0,1,0,0,11,19.8964,2.7941,21,10,0,40,9,1014,3,1,0,1,0.2566,17.7086,11
0,3,0,0,7,58.7808,19.6565,17,18,0,74,88,1018,3,2,0,1,8.3888,16.2816,11
0,1,0,0,8,55.6003,29.4999,17,18,0,74,88,1018,3,2,0,1,24.3687,27.4572,11
0,3,0,0,11,23.6093,14.0414,17,18,0,74,88,1018,3,2,0,1,5.7809,11.2803,11
0,4,0,0,4,60.1022,24.9015,13,19,0,60,82,1028,3,2,0,1,33.5041,30.5283,11
0,1,0,0,10,35.5758,8.50222,13,19,0,60,82,1028,3,2,0,1,0.2566,13.3835,11
0,1,0,0,1,53.017,19.4613,15,16,0,82,44,1024,3,2,0,1,19.6378,10.2729,11
0,1,0,0,2,74.1419,35.0819,15,16,0,82,44,1024,3,2,0,1,32.5604,0.2238,11
0,2,0,0,11,35.5758,8.50222,23,7,0,88,7,1010,3,2,1,0,5.6652,14.2842,11
0,7,0,0,2,74.1419,35.0819,25,20,0,61,25,1016,3,1,0,1,32.6855,33.9133,11
0,3,0,0,7,55.6003,29.4999,25,20,0,61,25,1016,3,1,0,1,22.614,31.866,11
0,1,0,0,9,0,0,25,20,0,61,25,1016,3,1,0,1,0.2566,0.2238,11
0,1,0,0,9,24.9177,16.5527,30,6,0,68,27,1010,3,1,0,0,4.48683,16.5566,12
0,2,0,0,1,50.1772,15.9831,27,14,8,88,20,1008,1,1,0,1,35.2199,33.0398,12
0,2,0,0,11,12.3153,0,27,14,8,88,20,1008,1,1,0,1,7.18013,8.88497,12
0,2,0,0,7,0,0,27,10,0,86,34,1012,3,2,1,1,17.731,15.8218,13
0,1,0,0,10,35.5758,20.2591,27,10,0,86,34,1012,3,2,1,1,16.9584,8.89639,13
0,1,0,0,5,75.4504,27.5146,22,14,0,48,10,1023,3,1,0,1,18.8181,28.4227,13
0,4,0,0,9,28.3833,0,21,29,0,62,3,1014,3,1,0,1,7.03932,24.9531,13
0,1,0,0,10,17.6814,0,18,16,0,65,40,1010,3,2,0,1,0.2566,9.25659,13
0,1,0,0,11,12.3153,9.309,18,16,0,65,40,1010,3,2,0,1,17.8891,14.6116,13
0,4,0,0,7,24.9177,0,15,15,0,78,52,1016,3,1,0,0,39.5216,36.3728,14
0,1,0,0,10,13.5961,0,14,12,0,79,92,1022,3,1,0,0,0.2566,0.2238,14
0,9,0,0,3,42.0114,0,17,22,2,75,33,1015,3,1,0,1,0.2566,26.5509,14
0,1,0,0,6,62.9666,0,15,34,0,73,4,1015,3,2,0,1,0.2566,32.4694,14
0,4,0,0,5,75.4504,27.0887,27,12,2,84,78,1007,3,1,0,0,44.097,28.3293,14
0,2,0,0,2,28.35,0,23,5,0,94,51,1011,3,1,0,1,0.2566,0.2238,14
0,1,0,0,10,23.6093,12.9477,26,16,2,72,17,1010,3,1,0,1,7.74727,0.4476,14
0,2,0,0,11,0,0,26,16,2,72,17,1010,3,1,0,1,0.5132,11.3574,14
0,1,0,0,10,23.6093,11.6107,23,7,0,48,22,1012,3,2,0,1,0.2566,2.7941,15
0,4,0,0,11,12.3153,18.5053,23,7,0,48,22,1012,3,2,0,1,0.2566,0.2238,15
0,1,0,0,1,31.1971,23.1603,23,22,0,55,21,1014,3,2,0,0,22.1296,41.6316,15
0,4,0,0,11,9.12361,0,23,15,0,80,2,1011,3,2,0,1,0.2566,6.52131,15
0,7,0,0,8,0,0,25,13,0,55,13,1010,3,1,0,0,0.2566,9.8822,15
0,6,0,0,9,23.6093,11.6107,25,13,0,55,13,1010,3,1,0,0,0.2566,12.9016,15
0,5,0,0,11,9.12361,0,25,13,0,55,13,1010,3,1,0,0,4.1552,6.52131,15
0,3,0,0,1,36.6786,26.3427,27,3,0,63,56,1010,3,2,1,1,17.2621,20.0408,15
0,4,0,0,11,0,0,27,3,0,63,56,1010,3,2,1,1,5.6652,0.2238,15
0,1,0,0,10,23.6093,11.6107,34,4,0,36,20,1009,3,1,0,1,11.2582,13.4704,15
0,1,0,0,11,12.3153,18.5053,34,4,0,36,20,1009,3,1,0,1,0.2566,0.6714,15
0,1,0,0,5,24.3925,0,19,17,0,59,19,1015,3,2,0,1,0.2566,0.2238,16
0,3,0,0,9,23.6093,12.9657,19,17,0,59,19,1015,3,2,0,1,6.63247,12.9016,16
0,2,0,0,4,58.7808,22.7266,16,28,0,75,63,1019,3,1,0,0,14.1351,27.4652,16
0,1,0,0,3,42.0114,32.2233,28,21,0,80,67,1008,3,2,0,1,29.8325,24.8272,16
0,1,0,0,6,42.0114,32.2233,30,31,0,67,24,1008,3,1,0,1,14.1346,24.8272,16
0,5,0,0,7,0,0,31,36,0,64,14,1009,3,1,0,0,17.6721,17.3693,16
0,5,0,0,8,55.6003,39.3634,26,9,1,85,69,1009,3,1,0,0,26.9486,27.4583,16
0,6,0,0,11,0,0,26,9,1,85,69,1009,3,1,0,0,0.2566,15.2357,16
0,1,0,0,11,35.5758,0,27,12,0,89,65,1009,3,2,1,0,16.9584,22.6286,16
0,1,0,0,6,29.9675,32.9057,31,10,0,62,0,1006,3,2,1,1,0.2566,22.0457,17
0,4,0,0,7,0,0,34,18,0,51,0,1008,3,1,0,1,8.943,10.4875,17
0,1,0,0,11,0,0,34,18,0,51,0,1008,3,1,0,1,5.6652,4.73523,17
0,5,0,0,2,62.9666,42.961,34,15,0,39,0,1009,3,1,0,1,15.3734,28.0572,17
0,2,0,0,5,0,0,34,15,0,39,0,1009,3,1,0,1,0.5132,3.71389,17
0,1,0,0,8,55.6003,2.2035,34,15,0,39,0,1009,3,1,0,1,14.0646,24.3489,17
0,3,0,0,2,0,0,33,18,0,51,0,1010,3,1,0,1,0.5132,3.71389,17
