runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season
1.093446,1.03758,0.563439,-0.374074,0.214873,1.348681,-1.455884,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,0.105638,1.065261,2
-0.789534,-0.762099,-0.747389,-0.374074,0.545926,-0.972533,-1.455884,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,0.118114,-1.341899,2
-0.825062,-0.860263,-0.747389,-0.374074,0.876978,-1.098209,-1.455884,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,-1.001885,-1.907907,2
-0.363199,-0.074949,-0.747389,-0.374074,1.208031,-0.315206,-1.455884,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,-0.191707,-0.5844,2
-0.292143,-0.56577,-0.419682,0.821465,1.539083,-0.464113,-1.455884,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,-0.404724,-0.838017,2
-0.825062,-0.925706,-0.747389,-0.374074,1.870136,-2.081474,-1.455884,0.539515,-1.334012,2.098378,1.180296,0.617045,-0.427386,-1.91488,-0.848992,-0.548609,0.925549,-0.915649,-1.645899,2
1.057918,1.430237,0.891146,0.821465,-1.44039,0.781138,0.366192,0.539515,-1.456151,3.111622,1.352167,0.90337,-0.632936,-1.91488,-0.848992,-0.548609,0.925549,-0.032791,1.275369,2
1.661893,0.710366,2.857387,0.821465,-1.109337,1.289194,1.749625,0.539515,-1.456151,3.111622,1.352167,0.90337,-0.632936,-1.91488,-0.848992,-0.548609,0.925549,0.833114,3.00286,2
0.986862,1.299351,0.563439,-0.374074,-0.778285,1.197205,1.727383,0.539515,-1.456151,3.111622,1.352167,0.90337,-0.632936,-1.91488,-0.848992,-0.548609,0.925549,0.224409,1.470192,2
0.667111,0.186823,1.218852,-0.374074,-0.447232,0.650915,2.113216,0.539515,-1.456151,3.111622,1.352167,0.90337,-0.632936,-1.91488,-0.848992,-0.548609,0.925549,0.48951,0.064562,2
0.631583,0.383151,-0.419682,0.821465,-0.11618,1.348681,-1.455884,0.539515,-1.456151,3.111622,1.352167,0.90337,-0.632936,-1.91488,-0.848992,-0.548609,0.925549,0.105638,2.056366,2
0.453943,0.023216,-0.419682,2.017004,0.214873,-0.972533,-1.455884,0.539515,-1.456151,3.111622,1.352167,0.90337,-0.632936,-1.91488,-0.848992,-0.548609,0.925549,0.118114,2.754239,2
0.489471,0.546758,1.218852,-0.374074,-1.44039,0.781138,0.366192,0.161863,-1.211873,2.605,1.810488,0.831789,-0.427386,-1.91488,1.177341,1.821976,0.925549,-0.032791,0.292991,2
-0.00792,-0.434885,0.563439,0.821465,-1.109337,1.289194,1.749625,0.161863,-1.211873,2.605,1.810488,0.831789,-0.427386,-1.91488,1.177341,1.821976,0.925549,0.833114,1.027571,2
1.732949,1.72473,2.52968,-0.374074,-0.778285,1.197205,1.727383,0.161863,-1.211873,2.605,1.810488,0.831789,-0.427386,-1.91488,1.177341,1.821976,0.925549,0.224409,1.105707,2
1.02239,1.233909,0.891146,0.821465,-0.447232,0.650915,2.113216,0.161863,-1.211873,2.605,1.810488,0.831789,-0.427386,-1.91488,1.177341,1.821976,0.925549,0.48951,1.021698,2
-0.611895,-0.500327,-0.747389,-0.374074,-0.11618,-2.081474,-0.603315,0.161863,-1.211873,2.605,1.810488,0.831789,-0.427386,-1.91488,1.177341,1.821976,0.925549,0.008014,-0.93181,2
-0.292143,0.023216,-0.419682,-0.374074,-1.44039,0.781138,0.366192,0.161863,-1.211873,5.138111,1.867778,0.939161,-0.838486,-4.177093,1.177341,1.821976,-1.079956,-0.032791,0.292991,2
-0.86059,-0.892985,-0.747389,-0.374074,-1.109337,1.289194,1.749625,0.161863,-1.211873,5.138111,1.867778,0.939161,-0.838486,-4.177093,1.177341,1.821976,-1.079956,0.833114,1.027571,2
-0.256615,0.284987,-0.091975,-0.374074,-0.778285,1.197205,1.727383,0.161863,-1.211873,5.138111,1.867778,0.939161,-0.838486,-4.177093,1.177341,1.821976,-1.079956,0.224409,1.105707,2
-0.469783,-0.33672,-0.419682,-0.374074,-0.447232,0.650915,2.113216,0.161863,-1.211873,5.138111,1.867778,0.939161,-0.838486,-4.177093,1.177341,1.821976,-1.079956,0.48951,1.021698,2
-0.86059,-0.892985,-0.747389,-0.374074,-0.11618,1.348681,-1.455884,0.161863,-1.211873,5.138111,1.867778,0.939161,-0.838486,-4.177093,1.177341,1.821976,-1.079956,0.105638,1.676198,2
0.240776,0.514037,-0.091975,-0.374074,0.214873,-2.081474,-0.603315,0.161863,-1.211873,5.138111,1.867778,0.939161,-0.838486,-4.177093,1.177341,1.821976,-1.079956,0.008014,-0.93181,2
