economy,deliveries,wickets_taken,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,batting_inning,bowling_session,toss,bowling_venue,bowling_opposition,season
5.5,12,0,105.123,36.8008,20,15,0,89,67,1019,3,1,0,1,4.6152,19.8435,3
5.1,60,3,594.115,29.2376,32,9,0,60,19,1011,3,0,0,0,12.1425,31.587,3
3.5,60,1,413.386,47.8475,32,9,0,60,19,1011,3,0,0,0,15.7275,29.248,3
5.0,42,0,354.802,30.6851,32,9,0,60,19,1011,3,0,0,0,36.9335,24.5498,3
4.2,60,0,68.7865,26.2859,32,9,0,60,19,1011,3,0,0,0,23.4508,24.7404,3
5.56,54,0,183.552,29.6321,32,9,0,60,19,1011,3,0,0,0,14.8618,28.062,3
5.5,12,0,0.0,4.1588,32,9,0,60,19,1011,3,0,0,0,7.2706,7.7049,3
9.5,12,0,264.519,19.259,32,9,0,60,19,1011,3,0,0,0,27.5518,31.9053,3
3.0,60,3,594.115,29.2376,26,22,0,80,97,1011,0,2,0,1,12.1425,31.587,3
4.2,60,2,413.386,47.8475,26,22,0,80,97,1011,0,2,0,1,15.7275,29.248,3
5.0,24,0,354.802,30.6851,26,22,0,80,97,1011,0,2,0,1,36.9335,24.5498,3
4.2,60,2,68.7865,26.2859,26,22,0,80,97,1011,0,2,0,1,23.4508,24.7404,3
3.86,42,0,264.519,19.259,26,22,0,80,97,1011,0,2,0,1,27.5518,31.9053,3
3.67,54,1,235.698,12.9094,26,22,0,80,97,1011,0,2,0,1,22.8069,24.6159,3
4.5,60,2,58.5243,23.8935,27,19,1,78,39,1007,3,1,0,0,11.934,12.5899,3
4.0,54,3,441.988,17.9622,27,19,1,78,39,1007,3,1,0,0,10.2339,8.4144,3
5.5,36,0,354.802,30.6851,27,19,1,78,39,1007,3,1,0,0,36.9335,24.5498,3
4.6,60,4,183.552,29.6321,27,19,1,78,39,1007,3,1,0,0,14.8618,28.062,3
7.0,6,0,0.0,4.1588,27,19,1,78,39,1007,3,1,0,0,7.2706,7.7049,3
8.33,18,0,264.519,19.259,27,19,1,78,39,1007,3,1,0,0,27.5518,31.9053,3
5.4,60,1,235.698,12.9094,27,19,1,78,39,1007,3,1,0,0,22.8069,24.6159,3
2.67,36,3,413.386,47.8475,25,10,0,89,24,1013,3,1,1,1,31.8562,5.32483,3
3.43,42,3,441.988,17.9622,25,10,0,89,24,1013,3,1,1,1,26.1782,6.4198,3
2.3,47,1,183.552,29.6321,25,10,0,89,24,1013,3,1,1,1,27.5644,14.5285,3
4.22,54,2,68.7865,26.2859,25,10,0,89,24,1013,3,1,1,1,10.5946,11.1796,3
2.8,30,0,264.519,19.259,25,10,0,89,24,1013,3,1,1,1,100.306,9.7562,3
2.0,12,1,0.0,0.0,25,10,0,89,24,1013,3,1,1,1,3.6415,3.8587,3
6.4,60,0,413.386,47.8475,29,9,0,59,20,1008,3,2,0,0,33.4576,57.8118,3
6.89,54,2,441.988,17.9622,29,9,0,59,20,1008,3,2,0,0,46.4186,80.4983,3
