Name;Overs;Maidens;Runs;Wickets;Econ;Dots;4s;6s;Wd;Nb;Match_Id
Tillakaratne Dilshan;1;0;10;0;10.00;0;1;0;0;0;433567
Lasith Malinga;7.4;0;38;6;4.96;35;5;0;3;2;433571
Nuwan Kulasekara;9;1;18;1;2.00;41;1;0;0;0;433571
Angelo Mathews;7;0;20;1;2.86;29;2;0;1;0;433571
Ajantha Mendis;9;2;23;0;2.56;41;2;0;0;0;433571
Muttiah Muralitharan;8;0;24;1;3.00;28;0;0;0;0;433571
Chamara Silva;3;0;12;0;4.00;8;0;0;1;0;433571
Lasith Malinga;8;0;51;0;6.38;27;6;0;7;0;433583
Nuwan Kulasekara;8;0;33;0;4.13;31;3;0;1;0;433583
Thisara Perera;6;0;33;1;5.50;20;3;1;0;0;433583
Muttiah Muralitharan;9;0;34;3;3.78;28;2;0;0;0;433583
Angelo Mathews;5;0;29;2;5.80;12;3;0;0;0;433583
Tillakaratne Dilshan;3;1;4;4;1.33;15;0;0;0;0;433583
Lasith Malinga;5;0;38;1;7.60;15;5;1;3;0;433594
Nuwan Kulasekara;7;0;19;1;2.71;31;2;0;2;0;433594
Angelo Mathews;3;0;19;1;6.33;8;2;0;0;0;433594
Ajantha Mendis;6;0;24;2;4.00;20;2;0;1;0;433594
Tillakaratne Dilshan;6;0;24;1;4.00;14;0;0;0;0;433594
Muttiah Muralitharan;8;0;25;4;3.13;33;2;0;0;1;433594
Lasith Malinga;10;0;46;1;4.60;30;3;0;2;0;433603
Tillakaratne Dilshan;6;1;25;1;4.17;19;1;0;1;0;433603
Angelo Mathews;5;0;20;1;4.00;20;2;0;0;0;433603
Rangana Herath;10;1;47;0;4.70;27;3;0;0;0;433603
Ajantha Mendis;10;0;34;1;3.40;29;0;0;0;0;433603
Muttiah Muralitharan;9;0;54;2;6.00;20;3;0;1;0;433603
Lasith Malinga;9;0;55;3;6.11;30;8;0;0;1;433604
Rangana Herath;9;1;31;1;3.44;33;1;1;1;0;433604
Angelo Mathews;6;0;27;0;4.50;21;3;0;0;0;433604
Ajantha Mendis;9.5;0;35;3;3.56;35;2;0;0;0;433604
Muttiah Muralitharan;10;1;42;2;4.20;36;2;1;2;0;433604
Tillakaratne Dilshan;5;0;22;1;4.40;12;0;0;1;0;433604
Lasith Malinga;9;0;42;2;4.67;31;4;0;2;0;433606
Nuwan Kulasekara;8.2;0;64;0;7.68;20;8;1;0;0;433606
Thisara Perera;9;0;55;1;6.11;27;5;1;2;0;433606
Suraj Randiv;9;0;43;0;4.78;24;3;0;0;0;433606
Tillakaratne Dilshan;5;0;27;1;5.40;14;2;0;1;0;433606
Muttiah Muralitharan;8;0;39;0;4.88;23;3;0;1;0;433606
Lasith Malinga;7;0;40;3;5.71;19;5;0;0;1;474467
Nuwan Kulasekara;6;1;31;0;5.17;21;5;0;0;0;474467
Suranga Lakmal;7;0;52;2;7.43;19;4;1;4;0;474467
Sanath Jayasuriya;6;0;46;1;7.67;7;2;0;2;0;474467
Suraj Randiv;4;0;34;1;8.50;8;4;1;0;0;474467
Jeevan Mendis;2;0;18;1;9.00;6;4;0;0;0;474467
Tillakaratne Dilshan;4;0;29;0;7.25;8;1;1;1;0;474468
Nuwan Kulasekara;9;0;39;1;4.33;30;4;0;0;0;474468
Lasith Malinga;8;0;41;1;5.13;27;5;0;2;0;474468
Suranga Lakmal;7.5;0;43;3;5.49;21;4;0;1;0;474468
Suraj Randiv;9;0;43;3;4.78;26;2;1;1;0;474468
Jeevan Mendis;6;0;31;2;5.17;19;1;2;1;0;474468
Angelo Mathews;2;0;13;0;6.50;2;0;0;0;0;474468
Angelo Mathews;1;0;4;0;4.00;5;1;0;0;0;474469
Lasith Malinga;10;1;54;2;5.40;29;5;1;1;0;474469
Nuwan Kulasekara;10;1;40;0;4.00;39;5;0;3;0;474469
Suranga Lakmal;10;0;62;2;6.20;27;8;0;1;0;474469
Jeevan Mendis;10;0;40;2;4.00;28;2;0;0;0;474469
Suraj Randiv;8;0;33;0;4.13;16;0;0;0;0;474469
Thilina Kandamby;1;0;9;0;9.00;0;1;0;0;0;474469
Nuwan Kulasekara;3.5;0;36;0;9.39;12;6;1;0;0;474470
Lasith Malinga;5;0;28;0;5.60;20;5;0;3;0;474470
Suranga Lakmal;2;0;12;0;6.00;9;3;0;0;0;474470
Angelo Mathews;3;0;22;0;7.33;7;3;0;0;0;474470
Suraj Randiv;5;0;32;0;6.40;12;2;1;0;0;474470
Tillakaratne Dilshan;3;0;21;0;7.00;7;3;0;1;0;474470
Jeevan Mendis;2;0;20;0;10.00;4;2;1;0;0;474470
Tillakaratne Dilshan;10;0;49;1;4.90;32;2;0;4;0;474471
Nuwan Kulasekara;8;0;51;0;6.38;23;4;1;1;0;474471
Lasith Malinga;10;0;60;0;6.00;29;5;0;1;0;474471
Dhammika Prasad;6;0;26;2;4.33;21;1;0;1;0;474471
Suraj Randiv;10;0;42;5;4.20;25;0;0;0;0;474471
Jeevan Mendis;6;0;33;0;5.50;8;1;0;0;0;474471
Lasith Malinga;9.4;2;30;5;3.10;45;3;0;5;0;506208
Dhammika Prasad;7;1;17;3;2.43;32;2;0;2;0;506208
Thisara Perera;6;0;20;1;3.33;27;3;0;1;0;506208
Ajantha Mendis;8;2;24;1;3.00;37;2;0;1;2;506208
Jeevan Mendis;2;0;6;0;3.00;6;0;0;0;0;506208
Nuwan Kulasekara;5;1;21;0;4.20;20;1;1;0;0;516206
Suranga Lakmal;5;0;39;0;7.80;15;6;1;1;0;516206
Ajantha Mendis;6;0;32;1;5.33;19;1;2;0;0;516206
Suraj Randiv;8.1;0;44;2;5.39;29;4;2;0;0;516206
Jeevan Mendis;9;0;37;0;4.11;19;0;0;0;0;516206
Tillakaratne Dilshan;5;1;18;0;3.60;16;0;0;1;0;516206
Lasith Malinga;8;0;45;1;5.63;30;5;0;5;1;516207
Nuwan Kulasekara;7;1;38;1;5.43;28;5;1;0;0;516207
Angelo Mathews;3;0;18;0;6.00;10;3;0;0;0;516207
Rangana Herath;8.2;0;57;0;6.84;18;3;2;1;0;516207
Ajantha Mendis;6;0;23;0;3.83;18;1;0;0;0;516207
Jeevan Mendis;3;0;12;0;4.00;8;0;0;0;0;516207
Tillakaratne Dilshan;3;0;16;0;5.33;9;0;1;0;0;516207
Lasith Malinga;8.2;2;28;5;3.36;37;3;0;3;1;516208
Nuwan Kulasekara;10;1;50;1;5.00;38;7;1;0;0;516208
Shaminda Eranga;7;0;38;2;5.43;22;3;0;5;0;516208
Tillakaratne Dilshan;10;0;39;0;3.90;29;2;0;0;0;516208
Jeevan Mendis;1;0;5;0;5.00;1;0;0;0;0;516208
Ajantha Mendis;8;0;38;1;4.75;18;1;0;0;0;516208
Lasith Malinga;7;2;18;2;2.57;31;2;0;0;0;516209
Ajantha Mendis;7;0;31;0;4.43;26;3;0;1;0;516209
Tillakaratne Dilshan;2;0;17;0;8.50;7;4;0;0;0;516209
Nuwan Kulasekara;2;0;13;0;6.50;8;3;0;0;0;516209
Shaminda Eranga;4;0;16;0;4.00;17;2;0;1;0;516209
Seekkuge Prasanna;6;1;32;3;5.33;25;5;1;0;0;516209
Lasith Malinga;8;2;35;3;4.38;34;5;0;2;2;516210
Shaminda Eranga;8;0;45;2;5.63;29;6;0;4;0;516210
Seekkuge Prasanna;10;1;37;1;3.70;37;4;0;0;0;516210
Angelo Mathews;3;0;6;1;2.00;12;0;0;0;0;516210
Jeevan Mendis;8;0;35;0;4.38;26;2;1;0;0;516210
Ajantha Mendis;9.1;0;49;3;5.35;26;4;1;1;0;516210
Lasith Malinga;5;0;35;0;7.00;17;2;0;3;4;530427
Suranga Lakmal;4;0;16;2;4.00;18;3;0;0;0;530427
Dilhara Fernando;5.5;0;35;0;6.00;18;4;0;2;0;530427
Seekkuge Prasanna;4;0;23;0;5.75;13;3;0;0;0;530427
Kosala Kulasekara;3;0;17;0;5.67;10;3;0;0;0;530427
Lasith Malinga;9;1;36;3;4.00;40;5;0;5;0;530428
Thisara Perera;9;1;30;2;3.33;32;0;0;0;0;530428
Dilhara Fernando;9;0;54;2;6.00;29;7;1;2;0;530428
Seekkuge Prasanna;9.3;1;38;0;4.00;28;1;1;0;0;530428
Tillakaratne Dilshan;1;0;3;0;3.00;3;0;0;0;0;530428
Jeevan Mendis;9;0;43;0;4.78;16;1;0;0;0;530428
Lasith Malinga;10;0;57;2;5.70;29;6;0;1;1;530429
Thisara Perera;10;1;45;1;4.50;35;4;0;1;0;530429
Dilhara Fernando;10;1;59;0;5.90;36;10;0;3;0;530429
Tillakaratne Dilshan;8;0;38;1;4.75;19;1;1;0;0;530429
Seekkuge Prasanna;9;0;39;2;4.33;20;1;0;0;0;530429
